Year,Town,Names on Official Check List (Active),Number Checked as Having Voted,Percentage Checked as Having Voted,Number of Absentee Ballots Received from Town Clerk,Number of Absentee Ballots Rejected,Number of Absentee Ballots Voted,Congressional Districts
2012,Union,622,518,0.832797428,33,0,33,2
2012,Canaan,786,625,0.795165394,95,2,93,5
2012,Warren,994,834,0.839034205,66,0,66,5
2012,Cornwall,1050,877,0.835238095,128,2,126,5
2012,Colebrook,1097,862,0.785779398,63,0,63,1
2012,Scotland,1118,844,0.754919499,45,1,44,2
2012,Norfolk,1164,920,0.790378007,120,0,120,5
2012,Eastford,1201,949,0.790174854,36,1,35,2
2012,Bridgewater,1256,1190,0.947452229,123,3,120,5
2012,Hampton,1257,1036,0.824184566,59,1,58,2
2012,Franklin,1316,1038,0.788753799,85,0,85,2
2012,Chaplin,1356,1060,0.781710914,51,1,50,5
2012,Hartland,1555,1215,0.781350482,72,0,72,1
2012,Voluntown,1672,1224,0.732057416,78,1,77,2
2012,Morris,1678,1302,0.775923719,130,1,129,5
2012,Bozrah,1714,1294,0.75495916,92,2,90,2
2012,Roxbury,1719,1477,0.859220477,218,3,215,5
2012,Sharon,1778,1460,0.821147357,256,2,254,5
2012,Sprague,1787,1420,0.794627868,96,3,93,2
2012,Lyme,1825,1478,0.809863014,153,6,147,2
2012,North Canaan,1998,1300,0.650650651,193,1,192,5
2012,Kent,2011,1712,0.851317752,282,3,279,5
2012,Sterling,2118,1411,0.666194523,80,5,75,2
2012,Goshen,2190,1798,0.821004566,173,7,166,5
2012,Andover,2210,1784,0.807239819,149,2,147,2
2012,Washington,2447,2162,0.883530854,323,3,320,5
2012,Chester,2542,2074,0.815892998,256,2,254,2
2012,Lisbon,2638,2053,0.778241092,135,5,130,2
2012,Barkhamsted,2700,2113,0.782592593,158,0,158,1
2012,Sherman,2714,1825,0.672439204,296,7,289,5
2012,Pomfret,2763,2161,0.782120883,181,4,177,2
2012,Salem,2801,2134,0.76187076,202,1,201,2
2012,Bethlehem,2837,2335,0.82305252,215,9,206,5
2012,Ashford,2878,2143,0.744614315,170,8,162,2
2012,Salisbury,2973,2220,0.746720484,440,5,435,5
2012,Deep River,3220,2448,0.760248447,190,1,189,2
2012,Middlefield,3274,2527,0.771838729,216,1,215,3
2012,Canterbury,3371,2553,0.757342035,152,2,150,2
2012,Preston,3382,2347,0.693968066,215,0,215,2
2012,Bolton,3412,2941,0.861957796,200,2,198,2
2012,East Granby,3546,2890,0.81500282,234,2,232,1
2012,Columbia,3644,3079,0.844950604,225,0,225,2
2012,Willington,3645,2796,0.767078189,188,5,183,2
2012,North Stonington,3766,2719,0.721986192,242,6,236,2
