StartDate,EndDate,State,Textbox36,textbox14,Textbox38,textbox6,textbox12City,textbox18
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2002,493,Afghanistan,Ansonia,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2003,214,Afghanistan,Ansonia,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2004,423,Afghanistan,Ansonia,1
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2005,578,Afghanistan,Ansonia,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2006,254,Afghanistan,Ansonia,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2007,486,Afghanistan,Ansonia,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2008,390,Afghanistan,Ansonia,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2009,408,Afghanistan,Ansonia,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2010,514,Afghanistan,Ansonia,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2011,375,Afghanistan,Ansonia,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2012,509,Afghanistan,Ansonia,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2013,547,Afghanistan,Ansonia,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2002,493,Afghanistan,Bridgeport,30
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2003,214,Afghanistan,Bridgeport,12
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2004,423,Afghanistan,Bridgeport,1
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2005,578,Afghanistan,Bridgeport,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2006,254,Afghanistan,Bridgeport,1
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2007,486,Afghanistan,Bridgeport,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2008,390,Afghanistan,Bridgeport,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2009,408,Afghanistan,Bridgeport,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2010,514,Afghanistan,Bridgeport,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2011,375,Afghanistan,Bridgeport,1
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2012,509,Afghanistan,Bridgeport,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2013,547,Afghanistan,Bridgeport,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2002,493,Afghanistan,Clinton,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2003,214,Afghanistan,Clinton,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2004,423,Afghanistan,Clinton,0
