District ID,District Name,School Year,Number of ELL Students,Total Enrollment,Percentage ELL
288,Achievement First Hartford Academy Inc.,2010-11,28,610,4.6
279,Amistad Academy District,2010-11,91,812,11.2
1,Andover School District,2010-11,2,334,0.6
2,Ansonia School District,2010-11,73,2619,2.8
244,Area Cooperative Educational Services,2010-11,46,1366,3.4
3,Ashford School District,2010-11,8,476,1.7
4,Avon School District,2010-11,53,3545,1.5
5,Barkhamsted School District,2010-11,2,343,0.6
7,Berlin School District,2010-11,66,3116,2.1
8,Bethany School District,2010-11,2,511,0.4
9,Bethel School District,2010-11,72,2938,2.5
11,Bloomfield School District,2010-11,38,2196,1.7
12,Bolton School District,2010-11,2,897,0.2
14,Branford School District,2010-11,129,3363,3.8
285,Bridgeport Achievement First,2010-11,32,409,7.8
15,Bridgeport School District,2010-11,2607,20087,13
17,Bristol School District,2010-11,261,8549,3.1
18,Brookfield School District,2010-11,25,2870,0.9
19,Brooklyn School District,2010-11,3,947,0.3
22,Canterbury School District,2010-11,1,524,0.2
23,Canton School District,2010-11,15,1777,0.8
241,Capitol Region Education Council,2010-11,95,4241,2.2
287,Charter School for Young Children on Asylum Hill,2010-11,2,225,0.9
25,Cheshire School District,2010-11,43,4770,0.9
26,Chester School District,2010-11,2,275,0.7
27,Clinton School District,2010-11,34,2029,1.7
28,Colchester School District,2010-11,23,3069,0.7
268,Common Ground High School District,2010-11,6,163,3.7
900,Connecticut Technical High School System,2010-11,273,10643,2.6
32,Coventry School District,2010-11,1,1822,0.1
33,Cromwell School District,2010-11,54,2016,2.7
34,Danbury School District,2010-11,1939,10343,18.7
35,Darien School District,2010-11,14,4820,0.3
36,Deep River School District,2010-11,14,351,4
37,Derby School District,2010-11,103,1463,7
40,East Granby School District,2010-11,5,889,0.6
41,East Haddam School District,2010-11,1,1335,0.1
42,East Hampton School District,2010-11,12,1958,0.6
43,East Hartford School District,2010-11,578,6624,8.7
44,East Haven School District,2010-11,207,3386,6.1
45,East Lyme School District,2010-11,35,3017,1.2
47,East Windsor School District,2010-11,29,1329,2.2
46,Easton School District,2010-11,2,1098,0.2
48,Ellington School District,2010-11,31,2726,1.1
289,Elm City College Preparatory School,2010-11,26,585,4.4
49,Enfield School District,2010-11,84,5766,1.5
50,Essex School District,2010-11,8,591,1.4
51,Fairfield School District,2010-11,224,10064,2.2
52,Farmington School District,2010-11,73,4053,1.8
54,Glastonbury School District,2010-11,89,6797,1.3
56,Granby School District,2010-11,9,2235,0.4
57,Greenwich School District,2010-11,457,8842,5.2
58,Griswold School District,2010-11,18,2005,0.9
59,Groton School District,2010-11,89,4965,1.8
60,Guilford School District,2010-11,34,3678,0.9
62,Hamden School District,2010-11,259,5897,4.4
64,Hartford School District,2010-11,3693,20899,17.7
65,Hartland School District,2010-11,1,221,0.5
67,Hebron School District,2010-11,1,1135,0.1
264,Integrated Day Charter School District,2010-11,13,331,3.9
265,Interdistrict School for Arts and Comm District,2010-11,10,182,5.5
261,Jumoke Academy District,2010-11,1,432,0.2
68,Kent School District,2010-11,1,287,0.3
69,Killingly School District,2010-11,54,2578,2.1
245,Learn,2010-11,122,1265,9.6
