District ID ,District Name,School ID,School Name,School Year,Number of ELL Students,Total Enrollment,Percentage ELL
243,Cooperative Educational Services,75,C. E. S.,2001-02,**,**,**
151,Waterbury School District,75,State Street School,2001-02,**,**,**
93,New Haven School District,41,Christopher Columbus Academy,2006-07,138,254,54.3
93,New Haven School District,41,Christopher Columbus Academy,2003-04,202,385,52.5
93,New Haven School District,41,Christopher Columbus Academy,2002-03,197,378,52.1
93,New Haven School District,23,Prince School,2005-06,75,145,51.7
80,Meriden School District,10,Thomas Hooker School,2001-02,247,486,50.8
93,New Haven School District,41,Christopher Columbus Academy,2008-09,201,398,50.5
93,New Haven School District,41,Christopher Columbus Academy,2007-08,144,285,50.5
95,New London School District,3,Jennings School,2008-09,288,573,50.3
93,New Haven School District,16,Fair Haven School,2008-09,282,562,50.2
95,New London School District,8,Winthrop School,2004-05,188,378,49.7
93,New Haven School District,16,Fair Haven School,2010-11,317,639,49.6
93,New Haven School District,39,Welch Annex School,2004-05,151,305,49.5
89,New Britain School District,11,DiLoreto Magnet School,2010-11,443,897,49.4
95,New London School District,3,Jennings School,2009-10,269,544,49.4
95,New London School District,8,Winthrop School,2005-06,156,317,49.2
93,New Haven School District,23,Prince School,2004-05,94,191,49.2
93,New Haven School District,39,Welch Annex School,2003-04,140,286,49
95,New London School District,3,Jennings School,2010-11,270,554,48.7
95,New London School District,1,Edgerton School,2005-06,146,300,48.7
93,New Haven School District,16,Fair Haven School,2007-08,264,545,48.4
64,Hartford School District,30,Sanchez School,2003-04,277,577,48
64,Hartford School District,3,Barnard-Brown School,2006-07,185,388,47.7
93,New Haven School District,41,Christopher Columbus Academy,2001-02,190,401,47.4
95,New London School District,8,Winthrop School,2003-04,157,332,47.3
15,Bridgeport School District,14,Cesar Batalla School,2005-06,331,703,47.1
64,Hartford School District,30,Sanchez School,2002-03,241,521,46.3
64,Hartford School District,30,Sanchez School,2001-02,223,482,46.3
93,New Haven School District,41,Christopher Columbus Academy,2004-05,198,429,46.2
95,New London School District,1,Edgerton School,2001-02,174,377,46.2
64,Hartford School District,30,Sanchez School,2004-05,241,526,45.8
34,Danbury School District,8,Park Avenue School,2010-11,194,425,45.6
64,Hartford School District,30,Sanchez School,2007-08,264,580,45.5
93,New Haven School District,39,Welch Annex School,2002-03,138,306,45.1
93,New Haven School District,41,Christopher Columbus Academy,2009-10,192,427,45
93,New Haven School District,23,Prince School,2003-04,90,201,44.8
64,Hartford School District,6,Burns Latino Studies Academy,2009-10,261,584,44.7
15,Bridgeport School District,14,Cesar Batalla School,2003-04,255,570,44.7
64,Hartford School District,3,Barnard-Brown School,2005-06,190,426,44.6
64,Hartford School District,3,Barnard-Brown School,2004-05,204,457,44.6
135,Stamford School District,5,K. T. Murphy School,2003-04,233,525,44.4
135,Stamford School District,8,Rogers International School,2004-05,249,563,44.2
89,New Britain School District,11,Diloreto Magnet School,2008-09,350,795,44
64,Hartford School District,3,Barnard-Brown School,2003-04,211,480,44
95,New London School District,8,Winthrop School,2007-08,137,313,43.8
93,New Haven School District,41,Christopher Columbus Academy,2010-11,204,467,43.7
15,Bridgeport School District,14,Cesar Batalla School,2006-07,345,789,43.7
93,New Haven School District,41,Christopher Columbus Academy,2005-06,176,403,43.7
64,Hartford School District,30,Sanchez School,2010-11,212,491,43.2
93,New Haven School District,7,Hill Central Music Academy,2008-09,190,440,43.2
89,New Britain School District,11,Diloreto Magnet School,2009-10,342,794,43.1
93,New Haven School District,16,Fair Haven School,2009-10,267,620,43.1
135,Stamford School District,5,K. T. Murphy School,2004-05,221,515,42.9
64,Hartford School District,3,Barnard-Brown School,2007-08,143,334,42.8
34,Danbury School District,8,Park Avenue School,2009-10,175,410,42.7
93,New Haven School District,7,Hill Central Music Academy,2009-10,156,365,42.7
95,New London School District,1,Edgerton School,2003-04,138,324,42.6
95,New London School District,3,Jennings School,2006-07,163,385,42.3
15,Bridgeport School District,14,Cesar Batalla School,2004-05,294,695,42.3
95,New London School District,8,Winthrop School,2006-07,149,354,42.1
64,Hartford School District,30,Sanchez School,2005-06,206,489,42.1
95,New London School District,52,Dual Language Arts Academy/Academia Bilingue de las Artes,2007-08,13,31,41.9
93,New Haven School District,7,Hill Central Music Academy,2010-11,167,400,41.8
93,New Haven School District,7,Hill Central Music Academy,2007-08,180,431,41.8
34,Danbury School District,6,Morris Street School,2010-11,143,344,41.6
151,Waterbury School District,13,Hopeville School,2001-02,176,425,41.4
93,New Haven School District,13,John C. Daniels,2006-07,222,538,41.3
64,Hartford School District,30,Sanchez School,2009-10,202,493,41
93,New Haven School District,39,Welch Annex School,2005-06,130,319,40.8
151,Waterbury School District,32,Woodrow Wilson School,2001-02,178,437,40.7
95,New London School District,3,Jennings School,2007-08,140,345,40.6
34,Danbury School District,10,South Street School,2005-06,129,318,40.6
93,New Haven School District,16,Fair Haven School,2006-07,285,703,40.5
135,Stamford School District,8,Rogers International School,2005-06,240,592,40.5
80,Meriden School District,10,Thomas Hooker School,2002-03,190,472,40.3
64,Hartford School District,6,Burns Latino Studies Academy,2010-11,268,666,40.2
95,New London School District,52,Dual Language Arts Academy/Academia Bilingue de las Artes,2008-09,20,50,40
64,Hartford School District,30,Sanchez School,2006-07,212,530,40
135,Stamford School District,8,Rogers International School,2003-04,251,628,40
34,Danbury School District,14,Ellsworth Avenue School,2006-07,123,309,39.8
34,Danbury School District,8,Park Avenue School,2006-07,142,359,39.6
135,Stamford School District,5,K. T. Murphy School,2007-08,216,548,39.4
34,Danbury School District,14,Ellsworth Avenue School,2005-06,128,325,39.4
151,Waterbury School District,32,Woodrow Wilson School,2002-03,177,449,39.4
103,Norwalk School District,23,Silvermine Elementary School,2006-07,165,422,39.1
163,Windham School District,6,W. B. Sweeney School,2010-11,133,341,39
163,Windham School District,5,Windham Center School,2010-11,121,310,39
80,Meriden School District,10,Thomas Hooker School,2003-04,189,485,39
64,Hartford School District,52,Quirk Middle School,2007-08,222,573,38.7
80,Meriden School District,10,Thomas Hooker School,2007-08,195,506,38.5
64,Hartford School District,6,Burns Latino Studies Academy,2006-07,200,519,38.5
93,New Haven School District,13,John C. Daniels,2007-08,188,489,38.4
34,Danbury School District,8,Park Avenue School,2007-08,144,376,38.3
15,Bridgeport School District,14,Cesar Batalla School,2010-11,406,1063,38.2
34,Danbury School District,8,Park Avenue School,2008-09,153,400,38.2
80,Meriden School District,10,Thomas Hooker School,2004-05,189,495,38.2
15,Bridgeport School District,5,Columbus School,2001-02,298,781,38.2
34,Danbury School District,6,Morris Street School,2009-10,142,373,38.1
34,Danbury School District,14,Ellsworth Avenue School,2007-08,126,331,38.1
64,Hartford School District,28,Dr. Ramon E. Betances Early Reading Lab School,2006-07,152,400,38
