District ID,District Name,School Year,Languages,Number of Students with Non-English Home Language,Number of ELL Students
1,Andover School District,2010-11,Polish,6,1
11,Bloomfield School District,2010-11,Arabic,**,**
11,Bloomfield School District,2010-11,Bengali,**,**
11,Bloomfield School District,2010-11,Creole-Haitian,**,**
11,Bloomfield School District,2010-11,French,**,**
11,Bloomfield School District,2010-11,Japanese,**,**
11,Bloomfield School District,2010-11,Patois,18,17
11,Bloomfield School District,2010-11,Russian,**,**
11,Bloomfield School District,2010-11,Samoan,**,**
11,Bloomfield School District,2010-11,Spanish,21,10
11,Bloomfield School District,2010-11,Tamil,**,**
12,Bolton School District,2010-11,Polish,**,**
12,Bolton School District,2010-11,Spanish,**,**
23,Canton School District,2010-11,Arabic,7,5
23,Canton School District,2010-11,Chinese,**,**
23,Canton School District,2010-11,French,**,**
23,Canton School District,2010-11,Korean,**,**
23,Canton School District,2010-11,Russian,**,**
23,Canton School District,2010-11,Spanish,11,3
40,East Granby School District,2010-11,Chinese,7,1
40,East Granby School District,2010-11,Spanish,10,3
40,East Granby School District,2010-11,Telugu,**,**
47,East Windsor School District,2010-11,Amharic,**,**
47,East Windsor School District,2010-11,Arabic,**,**
47,East Windsor School District,2010-11,Chinese,**,**
47,East Windsor School District,2010-11,Mandarin,**,**
47,East Windsor School District,2010-11,Marathi,**,**
47,East Windsor School District,2010-11,Polish,8,1
47,East Windsor School District,2010-11,Spanish,37,12
47,East Windsor School District,2010-11,Telugu,17,4
47,East Windsor School District,2010-11,Urdu,11,6
47,East Windsor School District,2010-11,Vietnamese,**,**
48,Ellington School District,2010-11,Albanian,**,**
48,Ellington School District,2010-11,Arabic,6,3
48,Ellington School District,2010-11,Chinese,9,5
48,Ellington School District,2010-11,Greek,**,**
48,Ellington School District,2010-11,Gujarati,7,2
48,Ellington School District,2010-11,Hindi,**,**
48,Ellington School District,2010-11,Korean,**,**
48,Ellington School District,2010-11,Pilipino (Filipino),**,**
48,Ellington School District,2010-11,Portuguese,**,**
48,Ellington School District,2010-11,Russian,**,**
48,Ellington School District,2010-11,Spanish,**,**
48,Ellington School District,2010-11,Telugu,**,**
48,Ellington School District,2010-11,Turkish,**,**
48,Ellington School District,2010-11,Urdu,**,**
48,Ellington School District,2010-11,Vietnamese,**,**
49,Enfield School District,2010-11,Arabic,33,18
49,Enfield School District,2010-11,Chinese,7,2
49,Enfield School District,2010-11,German,**,**
49,Enfield School District,2010-11,Hmong,21,9
49,Enfield School District,2010-11,Polish,27,6
49,Enfield School District,2010-11,Somali,**,**
49,Enfield School District,2010-11,Spanish,73,31
