District ID,District Name,School Year,Languages,Number of Students with Non-English Home Language,Number of ELL Students
288,Achievement First Hartford Academy Inc.,2010-11,All,30,28
279,Amistad Academy District,2010-11,All,125,91
1,Andover School District,2010-11,All,12,2
2,Ansonia School District,2010-11,All,257,73
244,Area Cooperative Educational Services,2010-11,All,79,46
3,Ashford School District,2010-11,All,13,8
4,Avon School District,2010-11,All,185,53
5,Barkhamsted School District,2010-11,All,6,2
7,Berlin School District,2010-11,All,231,66
8,Bethany School District,2010-11,All,19,2
9,Bethel School District,2010-11,All,240,72
11,Bloomfield School District,2010-11,All,59,38
12,Bolton School District,2010-11,All,**,**
14,Branford School District,2010-11,All,292,129
285,Bridgeport Achievement First,2010-11,All,35,32
15,Bridgeport School District,2010-11,All,7901,2607
17,Bristol School District,2010-11,All,732,261
18,Brookfield School District,2010-11,All,109,25
19,Brooklyn School District,2010-11,All,14,3
22,Canterbury School District,2010-11,All,**,**
23,Canton School District,2010-11,All,38,15
241,Capitol Region Education Council,2010-11,All,338,95
287,Charter School for Young Children on Asylum Hill,2010-11,All,**,**
25,Cheshire School District,2010-11,All,254,43
26,Chester School District,2010-11,All,**,**
27,Clinton School District,2010-11,All,60,34
28,Colchester School District,2010-11,All,57,23
268,Common Ground High School District,2010-11,All,15,6
900,Connecticut Technical High School System,2010-11,All,1051,273
32,Coventry School District,2010-11,All,**,**
33,Cromwell School District,2010-11,All,167,54
34,Danbury School District,2010-11,All,3970,1939
35,Darien School District,2010-11,All,135,14
36,Deep River School District,2010-11,All,21,14
37,Derby School District,2010-11,All,227,103
40,East Granby School District,2010-11,All,40,5
41,East Haddam School District,2010-11,All,11,1
42,East Hampton School District,2010-11,All,47,12
43,East Hartford School District,2010-11,All,1124,578
44,East Haven School District,2010-11,All,387,207
45,East Lyme School District,2010-11,All,159,35
47,East Windsor School District,2010-11,All,105,29
46,Easton School District,2010-11,All,16,2
48,Ellington School District,2010-11,All,88,31
289,Elm City College Preparatory School,2010-11,All,51,26
49,Enfield School District,2010-11,All,223,84
50,Essex School District,2010-11,All,8,8
51,Fairfield School District,2010-11,All,754,224
52,Farmington School District,2010-11,All,474,73
54,Glastonbury School District,2010-11,All,446,89
56,Granby School District,2010-11,All,28,9
57,Greenwich School District,2010-11,All,1539,457
58,Griswold School District,2010-11,All,54,18
59,Groton School District,2010-11,All,339,89
60,Guilford School District,2010-11,All,98,34
62,Hamden School District,2010-11,All,819,259
64,Hartford School District,2010-11,All,8371,3693
65,Hartland School District,2010-11,All,**,**
67,Hebron School District,2010-11,All,8,1
264,Integrated Day Charter School District,2010-11,All,25,13
265,Interdistrict School for Arts and Comm District,2010-11,All,29,10
261,Jumoke Academy District,2010-11,All,163,1
68,Kent School District,2010-11,All,11,1
69,Killingly School District,2010-11,All,108,54
245,Learn,2010-11,All,160,122
71,Lebanon School District,2010-11,All,6,3
72,Ledyard School District,2010-11,All,47,31
73,Lisbon School District,2010-11,All,6,1
74,Litchfield School District,2010-11,All,9,6
76,Madison School District,2010-11,All,51,8
77,Manchester School District,2010-11,All,335,335
78,Mansfield School District,2010-11,All,153,37
79,Marlborough School District,2010-11,All,16,3
80,Meriden School District,2010-11,All,1551,942
83,Middletown School District,2010-11,All,320,144
84,Milford School District,2010-11,All,462,117
85,Monroe School District,2010-11,All,95,26
86,Montville School District,2010-11,All,215,103
88,Naugatuck School District,2010-11,All,599,178
89,New Britain School District,2010-11,All,4088,1707
90,New Canaan School District,2010-11,All,137,27
91,New Fairfield School District,2010-11,All,20,20
92,New Hartford School District,2010-11,All,**,**
93,New Haven School District,2010-11,All,4906,2446
95,New London School District,2010-11,All,764,658
96,New Milford School District,2010-11,All,311,128
94,Newington School District,2010-11,All,653,144
97,Newtown School District,2010-11,All,80,8
99,North Branford School District,2010-11,All,65,22
100,North Canaan School District,2010-11,All,18,10
101,North Haven School District,2010-11,All,214,53
102,North Stonington School District,2010-11,All,**,**
103,Norwalk School District,2010-11,All,3889,1360
901,Norwich Free Academy,2010-11,All,298,97
104,Norwich School District,2010-11,All,821,432
106,Old Saybrook School District,2010-11,All,61,31
107,Orange School District,2010-11,All,48,18
108,Oxford School District,2010-11,All,88,31
283,Park City Prep Charter School,2010-11,All,**,**
109,Plainfield School District,2010-11,All,52,19
110,Plainville School District,2010-11,All,276,80
111,Plymouth School District,2010-11,All,16,12
112,Pomfret School District,2010-11,All,12,9
113,Portland School District,2010-11,All,34,7
114,Preston School District,2010-11,All,13,10
116,Putnam School District,2010-11,All,65,37
117,Redding School District,2010-11,All,13,2
204,Regional School District 04,2010-11,All,13,6
205,Regional School District 05,2010-11,All,48,7
206,Regional School District 06,2010-11,All,27,13
207,Regional School District 07,2010-11,All,**,**
208,Regional School District 08,2010-11,All,**,**
209,Regional School District 09,2010-11,All,16,1
210,Regional School District 10,2010-11,All,78,21
212,Regional School District 12,2010-11,All,7,2
213,Regional School District 13,2010-11,All,31,10
214,Regional School District 14,2010-11,All,25,25
215,Regional School District 15,2010-11,All,144,19
216,Regional School District 16,2010-11,All,80,25
217,Regional School District 17,2010-11,All,13,5
