Type,Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,
Property,Bridgeport Police Dept,CT,9518.1,8367.7,7988,8810.1,10547.8,10513.4,10237.3,9414.8,8080.2,6571.8,6614.5,6716.5,6740.6,5089.5,4694,4956.7,4455.3,4835.7,4538.8,4440.6,5077.9,5034.2,4777.9,4528.8,4127.2,3246.9,3880.4,3528.7, 
Property,Hartford Police Dept,CT,11099.6,12329.4,14317.2,12263.8,13096,12466.8,12622.3,12891.7,11435.5,10172,11251.6,8900.1,8315.7,7766,6656.4,8003.1,7520.8,7546.5,7781.9,8767.6,7605.2,7104.5,5785.3,5115.2,4989.2,4403.9,4401.4,4248.3, 
Property,New Haven Police Dept,CT,9863.3,9670.4,11154.1,12996.6,12656.6,13045.5,12223.4,10942.3,10500.4,10953.7,10823.2,10387.6,9718.6,8938.7,8172.4,6526.9,6442.3,6155.9,,,,6178.4,5941.9,6510.5,5752.1,5586.4,4983.1,5014.9, 
Property,Stamford Police Dept,CT,5478.9,6075.3,6010.6,5973.6,6530.9,5165.8,5487,5078.2,4961.7,5394.7,5168,4212.2,3704.4,3669.5,2771.3,2372.7,2390.6,1780.3,1796.2,1944.5,1983.3,1925.6,1594,1804.4,1796.5,1613.6,1617.2,1555.5, 
Property,Waterbury Police Dept,CT,6258.5,6684,7036.8,8083.9,8677,8636.1,8551.7,7738.4,7627.4,7612.5,7991.5,7049,6325.3,6020.9,5468.6,6001.6,5863.6,5450.4,5889.7,5988.5,5547.9,5605.5,5317.9,5280.1,5266,4209.6,4134,4265.7, 
Property,Peoria Police Dept,IL,6454.4,7227.9,7783,8325,7520.3,7548.6,8020.5,8627.4,,9064.9,,8375.1,7706.9,8859.3,8304.6,8264.9,7418.8,7235.7,6680.9,6107,6601.2,5697.7,4551.1,4238.8,4668.2,4489.3,4714.2,4356, 
Property,Rockford Police Dept,IL,8433.6,7898.3,8289,8755.2,8217.2,10065.6,9037.9,9613.2,9481.9,9048.4,9429,9146.9,9105.8,8407.3,8122.6,7464.9,7729.5,8171.7,7946.4,7096.3,6603.2,7338.5,6030.3,6298.4,5463.4,5125.2,4644.9,4995.6, 
Property,Evansville Police Dept,IN,4727.6,4564.8,4581.7,4883,5228.6,5519.8,5376.8,4555.8,4890.3,4996,5171.5,5039.7,5304.2,5876.1,4642.3,4599.4,4874.6,4459.5,4365.2,4935.2,5100.1,4548.1,4616.3,4698.2,4643.7,4721.2,4622.6,5146.6, 
Property,South Bend Police Dept,IN,8333.3,9319.7,10509.3,9855.2,,,,8863.8,8620.1,8574.7,8519.8,9183.1,8504,8140.1,8023.6,7142.7,7596.2,6762.1,6393.3,6182.4,6233.3,6994.2,6580,6725.5,5916.2,5860.5,5995,4760.4, 
Property,Cambridge Police Dept,MA,6260.5,6124.6,6453.8,,7131.8,6240,5576.2,5328.3,5821,5392.3,4789.5,4287.9,3833.7,3981.8,4071.3,3818.3,3874.8,3712.1,3385.8,3766.3,3292.8,3259,3576.5,3095.8,3061.3,3073.4,2985.7,2889.3, 
Property,Lowell Police Dept,MA,,,6186.6,,,,,,7317.1,5526.9,4905.9,3826,3408.9,2911.3,2480,3101.7,3463.7,3201.8,2932.5,3085.1,3187.6,3231.5,3231.7,3407.6,3397.1,3359,2893.6,2879.1, 
Property,Springfield Police Dept,MA,4022.1,4373.4,5477.9,6282,6197.3,7157.5,9291.1,8182.1,7415.3,6779.8,5906.2,5417.5,6727,5292.7,6123.5,6442.6,6294.9,7273.6,7650.2,6571.7,5738.1,5732.3,5265,4860.2,4901.9,4936.6,4782.7,4545.7, 
Property,Worcester Police Dept,MA,6342,6137.1,5962.9,6643.9,,,,6204.3,6293.5,5906.3,5777.3,5094.7,5285.6,4924.9,4781.4,4271.1,3914.2,4040.9,4367.4,3729.1,3465.4,3213.2,3430.1,3591.3,3751.8,3420.7,3336.4,3510, 
