Dist. ID,Category,Status,District,Year,Total Reading,Total Reading Average Scale Score
1,ELL,Not ELL,Andover,2006,44,242.9
1,ELL,Not ELL,Andover,2007,56,247.3
1,ELL,Not ELL,Andover,2008,42,245
1,ELL,Not ELL,Andover,2009,40,247.6
1,ELL,Not ELL,Andover,2010,34,270.8
1,ELL,Not ELL,Andover,2011,47,255.2
1,ELL,Not ELL,Andover,2012,41,261.9
1,ELL,Not ELL,Andover,2013,44,258.7
2,ELL,ELL,Ansonia,2006,-,-
2,ELL,Not ELL,Ansonia,2006,189,227.3
2,ELL,ELL,Ansonia,2007,-,-
2,ELL,Not ELL,Ansonia,2007,179,225.8
2,ELL,ELL,Ansonia,2008,-,-
2,ELL,Not ELL,Ansonia,2008,210,223
2,ELL,ELL,Ansonia,2009,-,-
2,ELL,Not ELL,Ansonia,2009,200,222.9
2,ELL,ELL,Ansonia,2010,-,-
2,ELL,Not ELL,Ansonia,2010,202,228.6
2,ELL,ELL,Ansonia,2011,-,-
2,ELL,Not ELL,Ansonia,2011,175,225.2
2,ELL,ELL,Ansonia,2012,-,-
2,ELL,Not ELL,Ansonia,2012,173,227.5
2,ELL,ELL,Ansonia,2013,-,-
2,ELL,Not ELL,Ansonia,2013,168,226.7
3,ELL,ELL,Ashford,2006,-,-
3,ELL,Not ELL,Ashford,2006,60,229
3,ELL,ELL,Ashford,2007,-,-
3,ELL,Not ELL,Ashford,2007,47,237.2
3,ELL,Not ELL,Ashford,2008,47,229.8
3,ELL,ELL,Ashford,2009,-,-
3,ELL,Not ELL,Ashford,2009,46,237.3
3,ELL,ELL,Ashford,2010,-,-
3,ELL,Not ELL,Ashford,2010,43,246.8
3,ELL,ELL,Ashford,2011,-,-
3,ELL,Not ELL,Ashford,2011,30,256.6
3,ELL,ELL,Ashford,2012,-,-
3,ELL,Not ELL,Ashford,2012,49,253.5
3,ELL,Not ELL,Ashford,2013,34,239.6
4,ELL,ELL,Avon,2006,-,-
4,ELL,Not ELL,Avon,2006,253,265.2
4,ELL,ELL,Avon,2007,-,-
4,ELL,Not ELL,Avon,2007,260,261.6
4,ELL,ELL,Avon,2008,-,-
4,ELL,Not ELL,Avon,2008,279,260.7
4,ELL,ELL,Avon,2009,-,-
4,ELL,Not ELL,Avon,2009,287,263.3
4,ELL,ELL,Avon,2010,-,-
4,ELL,Not ELL,Avon,2010,271,267.4
4,ELL,ELL,Avon,2011,-,-
4,ELL,Not ELL,Avon,2011,251,263.3
4,ELL,ELL,Avon,2012,-,-
4,ELL,Not ELL,Avon,2012,243,274.6
4,ELL,ELL,Avon,2013,-,-
4,ELL,Not ELL,Avon,2013,247,275.6
5,ELL,Not ELL,Barkhamsted,2006,32,251.9
