Dist. ID,Group,Year,Total Mathematics Number Tested,Total Mathematics Avg Scale Score,Total Reading ,Total Reading Average Scale Score,Total Writing ,Total Writing Avg Total Writing Scale Score
1,Andover,2006,44,248.2,44,242.9,44,267.2
1,Not ELL,2006,44,248.2,44,242.9,44,267.2
1,Andover,2007,56,253.6,56,247.3,55,247.1
1,Not ELL,2007,56,253.6,56,247.3,55,247.1
1,Andover,2008,42,265.2,42,245,42,258.5
1,Not ELL,2008,42,265.2,42,245,42,258.5
1,Andover,2009,40,265.2,40,247.6,39,259.4
1,Not ELL,2009,40,265.2,40,247.6,39,259.4
1,Andover,2010,34,274.6,34,270.8,35,271
1,Not ELL,2010,34,274.6,34,270.8,35,271
1,Andover,2011,47,270.2,47,255.2,48,273.6
1,Not ELL,2011,47,270.2,47,255.2,48,273.6
1,Andover,2012,41,279.9,41,261.9,41,267.7
1,Not ELL,2012,41,279.9,41,261.9,41,267.7
1,Andover,2013,44,270.8,44,258.7,47,268.2
1,Not ELL,2013,44,270.8,44,258.7,47,268.2
2,Ansonia,2006,206,234.1,204,226.1,203,236.3
2,ELL,2006,-,-,-,-,-,-
2,Not ELL,2006,191,234.7,189,227.3,188,237.7
2,Ansonia,2007,186,239.4,186,225.7,182,240.8
2,ELL,2007,-,-,-,-,-,-
2,Not ELL,2007,179,240.2,179,225.8,175,240.7
2,Ansonia,2008,216,248.8,215,222.3,216,241
2,ELL,2008,-,-,-,-,-,-
2,Not ELL,2008,211,249.8,210,223,211,241
2,Ansonia,2009,209,254.6,208,222.5,209,249.8
2,ELL,2009,-,-,-,-,-,-
2,Not ELL,2009,201,255.7,200,222.9,201,250.2
2,Ansonia,2010,213,250.6,208,227.8,216,250.6
2,ELL,2010,-,-,-,-,-,-
2,Not ELL,2010,207,251.4,202,228.6,210,251.4
2,Ansonia,2011,176,246.7,177,225,183,243.2
2,ELL,2011,-,-,-,-,-,-
2,Not ELL,2011,174,246.1,175,225.2,181,243.1
2,Ansonia,2012,177,245.3,176,227.2,187,242.5
2,ELL,2012,-,-,-,-,-,-
2,Not ELL,2012,174,245.4,173,227.5,184,242.7
2,Ansonia,2013,177,235.1,175,225.1,181,242.1
2,ELL,2013,-,-,-,-,-,-
2,Not ELL,2013,170,235.8,168,226.7,173,243.8
3,Ashford,2006,62,239.5,62,229.1,62,239.2
3,ELL,2006,-,-,-,-,-,-
3,Not ELL,2006,60,239.9,60,229,60,238.4
3,Ashford,2007,48,238.2,48,235,47,249.1
3,ELL,2007,-,-,-,-,-,-
3,Not ELL,2007,47,240.6,47,237.2,46,251.6
3,Ashford,2008,47,235.3,47,229.8,47,238.3
3,Not ELL,2008,47,235.3,47,229.8,47,238.3
3,Ashford,2009,47,237.8,47,235.6,53,238.8
3,ELL,2009,-,-,-,-,-,-
3,Not ELL,2009,46,239.4,46,237.3,52,240
3,Ashford,2010,44,249.3,44,245.3,45,245
