"Town.Type","School.Type","sum"
"Hartford","Homebound",67
"Hartford","Magnet School",18453
"Hartford","Nonpublic",4929
"Hartford","Open Choice",5738
"Hartford","Other",40
"Hartford","Public",88887
"Hartford","Public charter",2982
"Hartford","Voag",180
"Other towns","Homebound",64
"Other towns","Magnet School",5765
"Other towns","Nonpublic",29742
"Other towns","Open Choice",1
"Other towns","Other",78
"Other towns","Public",361983
"Other towns","Public charter",216
"Other towns","Voag",924
"Towns with Alliance District","Homebound",44
"Towns with Alliance District","Magnet School",12227
"Towns with Alliance District","Nonpublic",15443
"Towns with Alliance District","Open Choice",60
"Towns with Alliance District","Other",20
"Towns with Alliance District","Public",135336
"Towns with Alliance District","Public charter",1479
"Towns with Alliance District","Voag",833
