Date,Type,Voting District,Beginning Totals,Additions/Deletions,New Total,Number Voting,Not Voting,Percent Voted,Population Age 18+ (Census 2000),Percent of Population 18+ Who Voted,City average,Ratio to city average
11/2/2010,"Federal, State and District Election",001,1931,7,1938,1096,842,0.565531476,2889,0.379370024,0.219797671,1.725996562
11/2/2010,"Federal, State and District Election",002,597,0,597,349,248,0.584589615,806,0.433002481,0.219797671,1.970004867
11/2/2010,"Federal, State and District Election",003,1784,13,1797,1043,754,0.580411797,2736,0.38121345,0.219797671,1.734383485
11/2/2010,"Federal, State and District Election",004,1047,12,1059,484,575,0.457034939,2119,0.228409627,0.219797671,1.03918129
11/2/2010,"Federal, State and District Election",005,2967,30,2997,1223,1774,0.408074741,7041,0.173696918,0.219797671,0.790258229
11/2/2010,"Federal, State and District Election",006,2963,37,3000,1113,1887,0.371,4702,0.236707784,0.219797671,1.076934906
11/2/2010,"Federal, State and District Election",007,2816,25,2841,1513,1328,0.532558958,3878,0.390149562,0.219797671,1.775039563
11/2/2010,"Federal, State and District Election",008,1969,22,1991,773,1218,0.388247112,5137,0.150476932,0.219797671,0.684615681
11/2/2010,"Federal, State and District Election",009,2660,32,2692,810,1882,0.30089153,5019,0.16138673,0.219797671,0.734251322
11/2/2010,"Federal, State and District Election",010,2822,29,2851,932,1919,0.326902841,4383,0.212639744,0.219797671,0.967434021
11/2/2010,"Federal, State and District Election",011,2170,5,2175,1055,1120,0.485057471,3017,0.349685118,0.219797671,1.590940961
11/2/2010,"Federal, State and District Election",012,2592,22,2614,1037,1577,0.396710023,4055,0.255733662,0.219797671,1.163495778
11/2/2010,"Federal, State and District Election",013,2289,24,2313,940,1373,0.406398617,4333,0.216939765,0.219797671,0.986997559
11/2/2010,"Federal, State and District Election",014,2553,15,2568,984,1584,0.38317757,4979,0.197630046,0.219797671,0.899145316
11/2/2010,"Federal, State and District Election",015,1337,0,1337,389,948,0.290949888,3152,0.123413706,0.219797671,0.561487777
11/2/2010,"Federal, State and District Election",016,1952,20,1972,555,1417,0.281440162,3942,0.140791476,0.219797671,0.640550356
11/2/2010,"Federal, State and District Election",017,2742,21,2763,567,2196,0.205211726,5564,0.101905104,0.219797671,0.463631411
11/2/2010,"Federal, State and District Election",018,1476,13,1489,465,1024,0.312290128,2677,0.173701905,0.219797671,0.790280918
11/2/2010,"Federal, State and District Election",019,768,6,774,453,321,0.585271318,959,0.472367049,0.219797671,2.149099429
11/2/2010,"Federal, State and District Election",020,1606,24,1630,589,1041,0.361349693,3489,0.16881628,0.219797671,0.768053088
11/2/2010,"Federal, State and District Election",021,1520,0,1520,467,1053,0.307236842,2565,0.182066277,0.219797671,0.828335788
11/2/2010,"Federal, State and District Election",022,2532,34,2566,906,1660,0.353078722,5085,0.178171091,0.219797671,0.810614101
11/2/2010,"Federal, State and District Election",023,1959,29,1988,942,1046,0.473843058,2483,0.379379783,0.219797671,1.726040959
11/3/2009,Municipal Election for Board of Education,001,1967,1,1968,196,1772,0.099593496,2889,0.067843544,0.041489237,1.635208312
11/3/2009,Municipal Election for Board of Education,002,590,0,590,64,526,0.108474576,806,0.079404467,0.041489237,1.913857017
11/3/2009,Municipal Election for Board of Education,003,1816,-1,1815,359,1456,0.197796143,2736,0.13121345,0.041489237,3.162590136
11/3/2009,Municipal Election for Board of Education,004,1036,2,1038,121,917,0.116570328,2119,0.057102407,0.041489237,1.376318572
11/3/2009,Municipal Election for Board of Education,005,3091,1,3092,254,2838,0.082147477,7041,0.036074421,0.041489237,0.869488673
11/3/2009,Municipal Election for Board of Education,006,2891,2,2893,192,2701,0.066367093,4702,0.040833688,0.041489237,0.984199546
11/3/2009,Municipal Election for Board of Education,007,2854,0,2854,295,2559,0.1033637,3878,0.076070139,0.041489237,1.833490938
11/3/2009,Municipal Election for Board of Education,008,2055,2,2057,116,1941,0.056392805,5137,0.022581273,0.041489237,0.544268224
11/3/2009,Municipal Election for Board of Education,009,2585,2,2587,154,2433,0.059528411,5019,0.030683403,0.041489237,0.73955092
11/3/2009,Municipal Election for Board of Education,010,2696,7,2703,168,2535,0.062153163,4383,0.038329911,0.041489237,0.923851924
11/3/2009,Municipal Election for Board of Education,011,2169,0,2169,187,1982,0.086214846,3017,0.061982101,0.041489237,1.493932079
11/3/2009,Municipal Election for Board of Education,012,2597,5,2602,164,2438,0.06302844,4055,0.040443896,0.041489237,0.974804546
11/3/2009,Municipal Election for Board of Education,013,2257,4,2261,141,2120,0.062361787,4333,0.032540965,0.041489237,0.784323053
11/3/2009,Municipal Election for Board of Education,014,2516,0,2516,181,2335,0.071939587,4979,0.036352681,0.041489237,0.876195473
11/3/2009,Municipal Election for Board of Education,015,1301,1,1302,54,1248,0.041474654,3152,0.01713198,0.041489237,0.412925884
11/3/2009,Municipal Election for Board of Education,016,1867,0,1867,94,1773,0.050348152,3942,0.023845764,0.041489237,0.574745779
11/3/2009,Municipal Election for Board of Education,017,2557,2,2559,79,2480,0.030871434,5564,0.014198418,0.041489237,0.342219322
11/3/2009,Municipal Election for Board of Education,018,1393,5,1398,109,1289,0.077968526,2677,0.040717221,0.041489237,0.981392384
11/3/2009,Municipal Election for Board of Education,019,707,-1,706,106,600,0.150141643,959,0.110531804,0.041489237,2.664107926
11/3/2009,Municipal Election for Board of Education,020,1679,1,1680,112,1568,0.066666667,3489,0.032100889,0.041489237,0.773716057
11/3/2009,Municipal Election for Board of Education,021,1458,3,1461,62,1399,0.042436687,2565,0.02417154,0.041489237,0.582597849
11/3/2009,Municipal Election for Board of Education,022,2599,-2,2597,140,2457,0.053908356,5085,0.027531957,0.041489237,0.663592754
11/3/2009,Municipal Election for Board of Education,023,2006,4,2010,179,1831,0.089054726,2483,0.072090213,0.041489237,1.737564232
11/4/2008,"Pres, U.S. Congress, State Sen, State Rep.",001,2060,40,2100,1545,555,0.735714286,2889,0.534787124,0.370450535,1.443612771
11/4/2008,"Pres, U.S. Congress, State Sen, State Rep.",002,634,7,641,484,157,0.755070203,806,0.600496278,0.370450535,1.620989095
11/4/2008,"Pres, U.S. Congress, State Sen, State Rep.",003,1962,17,1979,1468,511,0.741788782,2736,0.536549708,0.370450535,1.448370718
11/4/2008,"Pres, U.S. Congress, State Sen, State Rep.",004,1150,27,1177,878,299,0.745964316,2119,0.41434639,0.370450535,1.11849316
11/4/2008,"Pres, U.S. Congress, State Sen, State Rep.",005,3295,98,3393,2362,1031,0.69613911,7041,0.335463713,0.370450535,0.905556021
11/4/2008,"Pres, U.S. Congress, State Sen, State Rep.",006,3004,78,3082,2111,971,0.684944841,4702,0.44895789,0.370450535,1.211923989
11/4/2008,"Pres, U.S. Congress, State Sen, State Rep.",007,2943,45,2988,2301,687,0.770080321,3878,0.593347086,0.370450535,1.601690454
11/4/2008,"Pres, U.S. Congress, State Sen, State Rep.",008,2178,75,2253,1414,839,0.627607634,5137,0.275257933,0.370450535,0.743035592
11/4/2008,"Pres, U.S. Congress, State Sen, State Rep.",009,2761,95,2856,1651,1205,0.578081232,5019,0.32894999,0.370450535,0.887972776
11/4/2008,"Pres, U.S. Congress, State Sen, State Rep.",010,2894,74,2968,1835,1133,0.618261456,4383,0.418663016,0.370450535,1.130145529
11/4/2008,"Pres, U.S. Congress, State Sen, State Rep.",011,2250,19,2269,1685,584,0.742617893,3017,0.558501823,0.370450535,1.507628603
11/4/2008,"Pres, U.S. Congress, State Sen, State Rep.",012,2672,56,2728,1896,832,0.695014663,4055,0.4675709,0.370450535,1.26216824
11/4/2008,"Pres, U.S. Congress, State Sen, State Rep.",013,2405,33,2438,1618,820,0.663658737,4333,0.373413339,0.370450535,1.00799784
11/4/2008,"Pres, U.S. Congress, State Sen, State Rep.",014,2622,51,2673,1833,840,0.685746352,4979,0.368146214,0.370450535,0.993779679
11/4/2008,"Pres, U.S. Congress, State Sen, State Rep.",015,1427,33,1460,831,629,0.569178082,3152,0.263642132,0.370450535,0.711679717
11/4/2008,"Pres, U.S. Congress, State Sen, State Rep.",016,2045,68,2113,1254,859,0.593469001,3942,0.318112633,0.370450535,0.858718244
11/4/2008,"Pres, U.S. Congress, State Sen, State Rep.",017,2754,89,2843,1553,1290,0.546253957,5564,0.279115744,0.370450535,0.753449429
11/4/2008,"Pres, U.S. Congress, State Sen, State Rep.",018,1491,66,1557,951,606,0.610789981,2677,0.355248412,0.370450535,0.958963151
11/4/2008,"Pres, U.S. Congress, State Sen, State Rep.",019,785,12,797,658,139,0.825595985,959,0.686131387,0.370450535,1.852153855
11/4/2008,"Pres, U.S. Congress, State Sen, State Rep.",020,1793,27,1820,1194,626,0.656043956,3489,0.342218401,0.370450535,0.923789732
11/4/2008,"Pres, U.S. Congress, State Sen, State Rep.",021,1555,46,1601,905,696,0.565271705,2565,0.352826511,0.370450535,0.952425431
11/4/2008,"Pres, U.S. Congress, State Sen, State Rep.",022,2835,72,2907,1891,1016,0.650498796,5085,0.371878073,0.370450535,1.003853517
11/4/2008,"Pres, U.S. Congress, State Sen, State Rep.",023,2084,69,2153,1679,474,0.779842081,2483,0.676198147,0.370450535,1.825339912
11/6/2007,Municipal Election,001,1904,2,1906,644,1262,0.337880378,2889,0.222914503,0.162851429,1.368821289
11/6/2007,Municipal Election,002,586,-2,584,262,322,0.448630137,806,0.325062035,0.162851429,1.996064979
11/6/2007,Municipal Election,003,1771,7,1778,828,950,0.465691789,2736,0.302631579,0.162851429,1.858329278
11/6/2007,Municipal Election,004,922,2,924,356,568,0.385281385,2119,0.168003775,0.162851429,1.031638323
11/6/2007,Municipal Election,005,2759,12,2771,865,1906,0.312161674,7041,0.122851868,0.162851429,0.75438004
11/6/2007,Municipal Election,006,2622,12,2634,749,1885,0.28435839,4702,0.159293917,0.162851429,0.978154863
11/6/2007,Municipal Election,007,2633,2,2635,990,1645,0.375711575,3878,0.25528623,0.162851429,1.567602024
11/6/2007,Municipal Election,008,2114,18,2132,598,1534,0.280487805,5137,0.116410356,0.162851429,0.714825512
11/6/2007,Municipal Election,009,2483,18,2501,699,1802,0.279488205,5019,0.139270771,0.162851429,0.855201405
11/6/2007,Municipal Election,010,2630,15,2645,788,1857,0.297920605,4383,0.179785535,0.162851429,1.103984999
11/6/2007,Municipal Election,011,2108,11,2119,798,1321,0.376592732,3017,0.26450116,0.162851429,1.624186913
11/6/2007,Municipal Election,012,2349,3,2352,765,1587,0.325255102,4055,0.18865598,0.162851429,1.158454557
11/6/2007,Municipal Election,013,2036,8,2044,711,1333,0.347847358,4333,0.164089545,0.162851429,1.007602734
11/6/2007,Municipal Election,014,2328,5,2333,851,1482,0.364766395,4979,0.170917855,0.162851429,1.049532422
11/6/2007,Municipal Election,015,1198,8,1206,278,928,0.230514096,3152,0.08819797,0.162851429,0.54158548
11/6/2007,Municipal Election,016,1761,15,1776,460,1316,0.259009009,3942,0.116692035,0.162851429,0.716555176
11/6/2007,Municipal Election,017,2116,15,2131,507,1624,0.237916471,5564,0.091121495,0.162851429,0.559537584
11/6/2007,Municipal Election,018,1377,13,1390,450,940,0.323741007,2677,0.168098618,0.162851429,1.03222071
11/6/2007,Municipal Election,019,539,3,542,261,281,0.481549815,959,0.272158498,0.162851429,1.671207307
11/6/2007,Municipal Election,020,1578,7,1585,378,1207,0.238485804,3489,0.108340499,0.162851429,0.665272016
11/6/2007,Municipal Election,021,1432,15,1447,398,1049,0.275051831,2565,0.155165692,0.162851429,0.952805221
11/6/2007,Municipal Election,022,2309,17,2326,539,1787,0.231728289,5085,0.105998033,0.162851429,0.650887953
11/6/2007,Municipal Election,023,1821,13,1834,669,1165,0.364776445,2483,0.269432139,0.162851429,1.654465913
11/7/2006,"Governor, Underticket, US Senator, US Congress, State Senator and Representative and Judge of Probate",001,1925,11,1936,864,1072,0.4463,2889,0.299065421,0.199082461,1.502218825
11/7/2006,"Governor, Underticket, US Senator, US Congress, State Senator and Representative and Judge of Probate",002,626,2,628,331,297,0.5271,806,0.410669975,0.199082461,2.062813436
11/7/2006,"Governor, Underticket, US Senator, US Congress, State Senator and Representative and Judge of Probate",003,1777,7,1784,1035,749,0.5802,2736,0.378289474,0.199082461,1.900164746
11/7/2006,"Governor, Underticket, US Senator, US Congress, State Senator and Representative and Judge of Probate",004,945,15,960,482,478,0.5021,2119,0.227465786,0.199082461,1.142570695
11/7/2006,"Governor, Underticket, US Senator, US Congress, State Senator and Representative and Judge of Probate",005,2685,18,2703,1158,1545,0.4284,7041,0.164465275,0.199082461,0.826116344
11/7/2006,"Governor, Underticket, US Senator, US Congress, State Senator and Representative and Judge of Probate",006,2629,25,2654,954,1700,0.3595,4702,0.202892386,0.199082461,1.019137423
11/7/2006,"Governor, Underticket, US Senator, US Congress, State Senator and Representative and Judge of Probate",007,2644,14,2658,1272,1386,0.4786,3878,0.328004126,0.199082461,1.647579221
11/7/2006,"Governor, Underticket, US Senator, US Congress, State Senator and Representative and Judge of Probate",008,2114,8,2122,705,1417,0.3322,5137,0.137239634,0.199082461,0.689360747
11/7/2006,"Governor, Underticket, US Senator, US Congress, State Senator and Representative and Judge of Probate",009,2543,2,2545,724,1821,0.2845,5019,0.144251843,0.199082461,0.724583383
11/7/2006,"Governor, Underticket, US Senator, US Congress, State Senator and Representative and Judge of Probate",010,2706,8,2714,882,1832,0.325,4383,0.201232033,0.199082461,1.010797395
11/7/2006,"Governor, Underticket, US Senator, US Congress, State Senator and Representative and Judge of Probate",011,2081,11,2092,1003,1089,0.4794,3017,0.332449453,0.199082461,1.669908296
11/7/2006,"Governor, Underticket, US Senator, US Congress, State Senator and Representative and Judge of Probate",012,2424,7,2431,925,1506,0.3805,4055,0.22811344,0.199082461,1.145823892
11/7/2006,"Governor, Underticket, US Senator, US Congress, State Senator and Representative and Judge of Probate",013,2063,14,2077,767,1310,0.3693,4333,0.177013616,0.199082461,0.889147219
11/7/2006,"Governor, Underticket, US Senator, US Congress, State Senator and Representative and Judge of Probate",014,2356,19,2375,1034,1341,0.4354,4979,0.207672223,0.199082461,1.043146756
11/7/2006,"Governor, Underticket, US Senator, US Congress, State Senator and Representative and Judge of Probate",015,1267,10,1277,344,933,0.2694,3152,0.109137056,0.199082461,0.548200255
11/7/2006,"Governor, Underticket, US Senator, US Congress, State Senator and Representative and Judge of Probate",016,1742,28,1770,509,1261,0.2876,3942,0.129122273,0.199082461,0.648586884
11/7/2006,"Governor, Underticket, US Senator, US Congress, State Senator and Representative and Judge of Probate",017,2153,17,2170,568,1602,0.2618,5564,0.102084831,0.199082461,0.512776618
11/7/2006,"Governor, Underticket, US Senator, US Congress, State Senator and Representative and Judge of Probate",018,1329,8,1337,464,873,0.347,2677,0.173328353,0.199082461,0.870635976
11/7/2006,"Governor, Underticket, US Senator, US Congress, State Senator and Representative and Judge of Probate",019,541,7,548,356,192,0.6496,959,0.371220021,0.199082461,1.864654572
11/7/2006,"Governor, Underticket, US Senator, US Congress, State Senator and Representative and Judge of Probate",020,1595,11,1606,544,1062,0.3387,3489,0.155918601,0.199082461,0.783186026
11/7/2006,"Governor, Underticket, US Senator, US Congress, State Senator and Representative and Judge of Probate",021,1494,12,1506,381,1125,0.253,2565,0.148538012,0.199082461,0.746112998
