Subgroup,Stat,Geography,CRCOG,Hartford,Urban periphery,Suburban / rural
All,Estimate,"Less than $25,000",54324,20294,25212,8818
All,Estimate,"$25,000 to $49,999",56800,12271,31247,13282
All,Estimate,"$50,000 to $74,999",50282,6504,28780,14998
All,Estimate,"$75,000 to $99,999",41676,3071,23783,14822
All,Estimate,"$100,000 to $124,999",29668,1830,16034,11804
All,Estimate,"$125,000 to $149,999",20318,878,10418,9022
All,Estimate,"$150,000 to $199,999",22634,543,11022,11069
All,Estimate,"$200,000 or more",21799,657,8800,12342
All,Percent,"Less than $25,000",0.182601067,0.440714038,0.162348032,0.091704192
All,Percent,"$25,000 to $49,999",0.190923728,0.266482801,0.201209304,0.138128269
All,Percent,"$50,000 to $74,999",0.169014558,0.141243919,0.185323511,0.155974084
All,Percent,"$75,000 to $99,999",0.140086924,0.066691279,0.15314625,0.154143744
All,Percent,"$100,000 to $124,999",0.099724035,0.03974114,0.103247991,0.122757574
All,Percent,"$125,000 to $149,999",0.068295569,0.01906706,0.067084793,0.093825723
All,Percent,"$150,000 to $199,999",0.076080417,0.011792043,0.07097414,0.115113824
All,Percent,"$200,000 or more",0.073273703,0.014267721,0.05666598,0.12835259
Latino,Estimate,"Less than $25,000",12509,9502,2813,194
Latino,Estimate,"$25,000 to $49,999",8285,4633,3216,436
Latino,Estimate,"$50,000 to $74,999",4831,2388,2110,333
Latino,Estimate,"$75,000 to $99,999",2810,852,1582,376
Latino,Estimate,"$100,000 to $124,999",1584,371,956,257
Latino,Estimate,"$125,000 to $149,999",888,314,364,210
Latino,Estimate,"$150,000 to $199,999",764,99,493,172
Latino,Estimate,"$200,000 or more",370,58,230,82
Black,Estimate,"Less than $25,000",11403,7611,3596,196
Black,Estimate,"$25,000 to $49,999",9574,5268,3911,395
Black,Estimate,"$50,000 to $74,999",6298,2485,3622,191
Black,Estimate,"$75,000 to $99,999",4414,1122,2967,325
Black,Estimate,"$100,000 to $124,999",2160,781,1147,232
Black,Estimate,"$125,000 to $149,999",1636,339,1103,194
Black,Estimate,"$150,000 to $199,999",1364,127,961,276
Black,Estimate,"$200,000 or more",626,78,468,80
White,Estimate,"Less than $25,000",29055,2887,18058,8110
White,Estimate,"$25,000 to $49,999",36721,2038,22717,11966
White,Estimate,"$50,000 to $74,999",36669,1235,21446,13988
White,Estimate,"$75,000 to $99,999",32420,905,17860,13655
White,Estimate,"$100,000 to $124,999",24252,454,13065,10733
White,Estimate,"$125,000 to $149,999",16736,206,8323,8207
White,Estimate,"$150,000 to $199,999",19099,289,8783,10027
White,Estimate,"$200,000 or more",19499,517,7498,11484
Latino,Percent,"Less than $25,000",0.390406042,0.521600703,0.239119347,0.094174757
Latino,Percent,"$25,000 to $49,999",0.258574951,0.254322885,0.273376403,0.211650485
Latino,Percent,"$50,000 to $74,999",0.150775569,0.131086348,0.179360762,0.161650485
Latino,Percent,"$75,000 to $99,999",0.087700134,0.046769501,0.134478069,0.182524272
Latino,Percent,"$100,000 to $124,999",0.049436659,0.020365593,0.081264876,0.124757282
Latino,Percent,"$125,000 to $149,999",0.027714491,0.017236647,0.030941857,0.101941748
Latino,Percent,"$150,000 to $199,999",0.023844449,0.005434484,0.041907514,0.083495146
Latino,Percent,"$200,000 or more",0.011547705,0.003183839,0.019551173,0.039805825
Black,Percent,"Less than $25,000",0.304282855,0.427320195,0.20230661,0.103758602
Black,Percent,"$25,000 to $49,999",0.255476985,0.295772276,0.220028129,0.209105347
Black,Percent,"$50,000 to $74,999",0.168058706,0.139520521,0.203769339,0.101111699
Black,Percent,"$75,000 to $99,999",0.11778519,0.062994779,0.166919831,0.172048703
Black,Percent,"$100,000 to $124,999",0.057638426,0.043849307,0.064528833,0.122816305
Black,Percent,"$125,000 to $149,999",0.043655771,0.019033182,0.062053446,0.102699841
Black,Percent,"$150,000 to $199,999",0.036397598,0.007130425,0.054064698,0.146109052
Black,Percent,"$200,000 or more",0.01670447,0.004379316,0.026329114,0.04235045
White,Percent,"Less than $25,000",0.135485496,0.338412847,0.153358811,0.0919814
White,Percent,"$25,000 to $49,999",0.171232589,0.238893447,0.19292569,0.135715096
White,Percent,"$50,000 to $74,999",0.17099011,0.144766147,0.182131635,0.158648066
White,Percent,"$75,000 to $99,999",0.151176726,0.106083695,0.151677282,0.154871271
White,Percent,"$100,000 to $124,999",0.113088771,0.053217677,0.110955414,0.121730747
White,Percent,"$125,000 to $149,999",0.078041138,0.024147228,0.070683652,0.093081547
White,Percent,"$150,000 to $199,999",0.089059972,0.033876451,0.074590234,0.113723489
White,Percent,"$200,000 or more",0.0909252,0.060602508,0.063677282,0.130248384
