"TOWN","variable","value"
"Andover town","X15TOTAL",3354
"Ansonia town","X15TOTAL",19714
"Ashford town","X15TOTAL",4413
"Avon town","X15TOTAL",18904
"Barkhamsted town","X15TOTAL",3881
"Beacon Falls town","X15TOTAL",6376
"Berlin town","X15TOTAL",20531
"Bethany town","X15TOTAL",5761
"Bethel town","X15TOTAL",18630
"Bethlehem town","X15TOTAL",3678
"Bloomfield town","X15TOTAL",20846
"Bolton town","X15TOTAL",4953
"Bozrah town","X15TOTAL",2772
"Branford town","X15TOTAL",27764
"Bridgeport town","X15TOTAL",147710
"Bridgewater town","X15TOTAL",1663
"Bristol town","X15TOTAL",60807
"Brookfield town","X15TOTAL",16635
"Brooklyn town","X15TOTAL",8671
"Burlington town","X15TOTAL",9618
"Canaan town","X15TOTAL",1233
"Canterbury town","X15TOTAL",5332
"Canton town","X15TOTAL",10846
"Chaplin town","X15TOTAL",2293
"Cheshire town","X15TOTAL",29275
"Chester town","X15TOTAL",3996
"Clinton town","X15TOTAL",13125
"Colchester town","X15TOTAL",16543
"Colebrook town","X15TOTAL",1480
"Columbia town","X15TOTAL",5665
"Cornwall town","X15TOTAL",1384
"Coventry town","X15TOTAL",12780
"Cromwell town","X15TOTAL",14470
"Danbury town","X15TOTAL",84146
"Darien town","X15TOTAL",20732
"Deep River town","X15TOTAL",4581
"Derby town","X15TOTAL",13239
"Durham town","X15TOTAL",7623
"East Granby town","X15TOTAL",5270
"East Haddam town","X15TOTAL",9341
"East Hampton town","X15TOTAL",12740
"East Hartford town","X15TOTAL",52305
"East Haven town","X15TOTAL",29696
"East Lyme town","X15TOTAL",19162
"East Windsor town","X15TOTAL",11879
"Eastford town","X15TOTAL",1822
"Easton town","X15TOTAL",7411
"Ellington town","X15TOTAL",16878
"Enfield town","X15TOTAL",43570
"Essex town","X15TOTAL",6644
"Fairfield town","X15TOTAL",59254
"Farmington town","X15TOTAL",26092
"Franklin town","X15TOTAL",1964
"Glastonbury town","X15TOTAL",35278
"Goshen town","X15TOTAL",3095
"Granby town","X15TOTAL",11534
"Greenwich town","X15TOTAL",60471
"Griswold town","X15TOTAL",12584
"Groton town","X15TOTAL",39179
"Guilford town","X15TOTAL",22481
"Haddam town","X15TOTAL",8784
"Hamden town","X15TOTAL",63231
"Hampton town","X15TOTAL",1889
"Hartford town","X15TOTAL",125999
"Hartland town","X15TOTAL",2104
"Harwinton town","X15TOTAL",5742
"Hebron town","X15TOTAL",9979
"Kent town","X15TOTAL",3008
"Killingly town","X15TOTAL",17738
"Killingworth town","X15TOTAL",6608
"Lebanon town","X15TOTAL",7476
"Ledyard town","X15TOTAL",15016
"Lisbon town","X15TOTAL",4435
"Litchfield town","X15TOTAL",8465
"Lyme town","X15TOTAL",2556
"Madison town","X15TOTAL",18133
"Manchester town","X15TOTAL",60815
"Mansfield town","X15TOTAL",26967
"Marlborough town","X15TOTAL",6580
"Meriden town","X15TOTAL",62067
"Middlebury town","X15TOTAL",8049
"Middlefield town","X15TOTAL",4477
"Middletown town","X15TOTAL",49482
"Milford town","X15TOTAL",53062
"Monroe town","X15TOTAL",19300
"Montville town","X15TOTAL",21824
"Morris town","X15TOTAL",2435
"Naugatuck town","X15TOTAL",32438
"New Britain town","X15TOTAL",74554
"New Canaan town","X15TOTAL",19695
"New Fairfield town","X15TOTAL",13620
"New Hartford town","X15TOTAL",7294
"New Haven town","X15TOTAL",135175
"New London town","X15TOTAL",25729
"New Milford town","X15TOTAL",28231
"Newington town","X15TOTAL",31487
"Newtown town","X15TOTAL",28105
"Norfolk town","X15TOTAL",1711
"North Branford town","X15TOTAL",14469
"North Canaan town","X15TOTAL",3330
"North Haven town","X15TOTAL",24579
"North Stonington town","X15TOTAL",5328
"Norwalk town","X15TOTAL",87329
"Norwich town","X15TOTAL",42810
"Old Lyme town","X15TOTAL",7576
"Old Saybrook town","X15TOTAL",9993
"Orange town","X15TOTAL",14242
"Oxford town","X15TOTAL",13791
"Plainfield town","X15TOTAL",15759
"Plainville town","X15TOTAL",18145
"Plymouth town","X15TOTAL",12550
"Pomfret town","X15TOTAL",4473
"Portland town","X15TOTAL",9815
"Preston town","X15TOTAL",4739
"Prospect town","X15TOTAL",9659
"Putnam town","X15TOTAL",9935
"Redding town","X15TOTAL",9196
"Ridgefield town","X15TOTAL",24621
"Rocky Hill town","X15TOTAL",20556
"Roxbury town","X15TOTAL",2297
"Salem town","X15TOTAL",4244
"Salisbury town","X15TOTAL",3619
"Scotland town","X15TOTAL",1783
"Seymour town","X15TOTAL",17014
"Sharon town","X15TOTAL",2676
"Shelton town","X15TOTAL",39981
"Sherman town","X15TOTAL",3431
"Simsbury town","X15TOTAL",23343
"Somers town","X15TOTAL",10774
"South Windsor town","X15TOTAL",26089
"Southbury town","X15TOTAL",20277
"Southington town","X15TOTAL",44295
"Sprague town","X15TOTAL",3016
"Stafford town","X15TOTAL",12381
"Stamford town","X15TOTAL",126810
"Sterling town","X15TOTAL",4168
"Stonington town","X15TOTAL",18680
"Stratford town","X15TOTAL",52338
"Suffield town","X15TOTAL",15768
"Thomaston town","X15TOTAL",8030
"Thompson town","X15TOTAL",9733
"Tolland town","X15TOTAL",15682
"Torrington town","X15TOTAL",36936
"Trumbull town","X15TOTAL",36207
"Union town","X15TOTAL",912
"Vernon town","X15TOTAL",29916
"Voluntown town","X15TOTAL",2590
"Wallingford town","X15TOTAL",46033
"Warren town","X15TOTAL",1540
"Washington town","X15TOTAL",3535
"Waterbury town","X15TOTAL",112736
"Waterford town","X15TOTAL",19543
"Watertown town","X15TOTAL",22863
"West Hartford town","X15TOTAL",63261
"West Haven town","X15TOTAL",56172
"Westbrook town","X15TOTAL",7187
"Weston town","X15TOTAL",10173
"Westport town","X15TOTAL",26271
"Wethersfield town","X15TOTAL",27051
"Willington town","X15TOTAL",6245
"Wilton town","X15TOTAL",17914
"Winchester town","X15TOTAL",11503
"Windham town","X15TOTAL",25610
"Windsor Locks town","X15TOTAL",12781
"Windsor town","X15TOTAL",29455
"Wolcott town","X15TOTAL",17287
"Woodbridge town","X15TOTAL",8906
"Woodbury town","X15TOTAL",10234
"Woodstock town","X15TOTAL",8324
"","X15TOTAL",NA
"Note: For the age group, The first two didigts in the fields name are years. The third letter means gender, m for male, f for female. The last four digits are age groups. 15M2024 means 2015 projection male population for 20 to 24 years. For the total population, the first two digits also mean year, the third is gender, if necesary. the last five letters are total. 15MTOTAL means 2015 projection for total male population.","X15TOTAL",NA
"Andover town","X15MTOTAL",1695
"Ansonia town","X15MTOTAL",9533
"Ashford town","X15MTOTAL",2176
"Avon town","X15MTOTAL",9143
"Barkhamsted town","X15MTOTAL",1983
"Beacon Falls town","X15MTOTAL",3175
"Berlin town","X15MTOTAL",9960
"Bethany town","X15MTOTAL",2925
"Bethel town","X15MTOTAL",9056
"Bethlehem town","X15MTOTAL",1829
"Bloomfield town","X15MTOTAL",9390
"Bolton town","X15MTOTAL",2466
"Bozrah town","X15MTOTAL",1397
"Branford town","X15MTOTAL",13040
"Bridgeport town","X15MTOTAL",71994
"Bridgewater town","X15MTOTAL",830
"Bristol town","X15MTOTAL",29300
"Brookfield town","X15MTOTAL",8045
"Brooklyn town","X15MTOTAL",4430
"Burlington town","X15MTOTAL",4874
"Canaan town","X15MTOTAL",601
"Canterbury town","X15MTOTAL",2674
"Canton town","X15MTOTAL",5255
"Chaplin town","X15MTOTAL",1186
"Cheshire town","X15MTOTAL",15190
"Chester town","X15MTOTAL",1873
"Clinton town","X15MTOTAL",6368
"Colchester town","X15MTOTAL",8178
"Colebrook town","X15MTOTAL",740
"Columbia town","X15MTOTAL",2747
"Cornwall town","X15MTOTAL",689
"Coventry town","X15MTOTAL",6463
"Cromwell town","X15MTOTAL",7055
"Danbury town","X15MTOTAL",41279
"Darien town","X15MTOTAL",10210
"Deep River town","X15MTOTAL",2283
"Derby town","X15MTOTAL",6351
"Durham town","X15MTOTAL",3799
"East Granby town","X15MTOTAL",2632
"East Haddam town","X15MTOTAL",4640
"East Hampton town","X15MTOTAL",6274
"East Hartford town","X15MTOTAL",25123
"East Haven town","X15MTOTAL",14175
"East Lyme town","X15MTOTAL",8978
"East Windsor town","X15MTOTAL",5734
"Eastford town","X15MTOTAL",941
"Easton town","X15MTOTAL",3707
"Ellington town","X15MTOTAL",8301
"Enfield town","X15MTOTAL",22472
"Essex town","X15MTOTAL",3148
"Fairfield town","X15MTOTAL",28120
"Farmington town","X15MTOTAL",12454
"Franklin town","X15MTOTAL",1007
"Glastonbury town","X15MTOTAL",16844
"Goshen town","X15MTOTAL",1527
"Granby town","X15MTOTAL",5688
"Greenwich town","X15MTOTAL",28833
"Griswold town","X15MTOTAL",6301
"Groton town","X15MTOTAL",20805
"Guilford town","X15MTOTAL",10842
"Haddam town","X15MTOTAL",4421
"Hamden town","X15MTOTAL",29109
"Hampton town","X15MTOTAL",970
"Hartford town","X15MTOTAL",61116
"Hartland town","X15MTOTAL",1059
"Harwinton town","X15MTOTAL",2902
"Hebron town","X15MTOTAL",4970
"Kent town","X15MTOTAL",1496
"Killingly town","X15MTOTAL",8771
"Killingworth town","X15MTOTAL",3239
"Lebanon town","X15MTOTAL",3768
"Ledyard town","X15MTOTAL",7518
"Lisbon town","X15MTOTAL",2213
"Litchfield town","X15MTOTAL",4211
"Lyme town","X15MTOTAL",1280
"Madison town","X15MTOTAL",8808
"Manchester town","X15MTOTAL",29310
"Mansfield town","X15MTOTAL",13991
"Marlborough town","X15MTOTAL",3216
"Meriden town","X15MTOTAL",30012
"Middlebury town","X15MTOTAL",3894
"Middlefield town","X15MTOTAL",2251
"Middletown town","X15MTOTAL",24113
"Milford town","X15MTOTAL",25504
"Monroe town","X15MTOTAL",9514
"Montville town","X15MTOTAL",11595
"Morris town","X15MTOTAL",1213
"Naugatuck town","X15MTOTAL",15957
"New Britain town","X15MTOTAL",36260
"New Canaan town","X15MTOTAL",9481
"New Fairfield town","X15MTOTAL",6732
"New Hartford town","X15MTOTAL",3631
"New Haven town","X15MTOTAL",65451
"New London town","X15MTOTAL",12741
"New Milford town","X15MTOTAL",13952
"Newington town","X15MTOTAL",15007
"Newtown town","X15MTOTAL",14103
"Norfolk town","X15MTOTAL",832
"North Branford town","X15MTOTAL",7059
"North Canaan town","X15MTOTAL",1620
"North Haven town","X15MTOTAL",11772
"North Stonington town","X15MTOTAL",2708
"Norwalk town","X15MTOTAL",42837
"Norwich town","X15MTOTAL",20860
"Old Lyme town","X15MTOTAL",3707
"Old Saybrook town","X15MTOTAL",4738
"Orange town","X15MTOTAL",6889
"Oxford town","X15MTOTAL",6826
"Plainfield town","X15MTOTAL",7732
"Plainville town","X15MTOTAL",8771
"Plymouth town","X15MTOTAL",6196
"Pomfret town","X15MTOTAL",2220
"Portland town","X15MTOTAL",4767
"Preston town","X15MTOTAL",2361
"Prospect town","X15MTOTAL",4636
"Putnam town","X15MTOTAL",4905
"Redding town","X15MTOTAL",4379
"Ridgefield town","X15MTOTAL",11966
"Rocky Hill town","X15MTOTAL",10060
"Roxbury town","X15MTOTAL",1148
"Salem town","X15MTOTAL",2153
"Salisbury town","X15MTOTAL",1721
"Scotland town","X15MTOTAL",918
"Seymour town","X15MTOTAL",8326
"Sharon town","X15MTOTAL",1304
"Shelton town","X15MTOTAL",19438
"Sherman town","X15MTOTAL",1740
"Simsbury town","X15MTOTAL",11393
"Somers town","X15MTOTAL",6002
"South Windsor town","X15MTOTAL",12628
"Southbury town","X15MTOTAL",9487
"Southington town","X15MTOTAL",21299
"Sprague town","X15MTOTAL",1493
"Stafford town","X15MTOTAL",6143
"Stamford town","X15MTOTAL",62860
"Sterling town","X15MTOTAL",2146
"Stonington town","X15MTOTAL",9058
"Stratford town","X15MTOTAL",24674
"Suffield town","X15MTOTAL",8757
"Thomaston town","X15MTOTAL",3885
"Thompson town","X15MTOTAL",4862
"Tolland town","X15MTOTAL",7798
"Torrington town","X15MTOTAL",18122
"Trumbull town","X15MTOTAL",17413
"Union town","X15MTOTAL",453
"Vernon town","X15MTOTAL",14304
"Voluntown town","X15MTOTAL",1310
"Wallingford town","X15MTOTAL",22247
"Warren town","X15MTOTAL",779
"Washington town","X15MTOTAL",1748
"Waterbury town","X15MTOTAL",53960
"Waterford town","X15MTOTAL",9524
"Watertown town","X15MTOTAL",11100
"West Hartford town","X15MTOTAL",29460
"West Haven town","X15MTOTAL",27368
"Westbrook town","X15MTOTAL",3532
"Weston town","X15MTOTAL",5061
"Westport town","X15MTOTAL",12739
"Wethersfield town","X15MTOTAL",12689
"Willington town","X15MTOTAL",3183
"Wilton town","X15MTOTAL",8694
"Winchester town","X15MTOTAL",5678
"Windham town","X15MTOTAL",12489
"Windsor Locks town","X15MTOTAL",6204
"Windsor town","X15MTOTAL",14050
"Wolcott town","X15MTOTAL",8365
"Woodbridge town","X15MTOTAL",4375
"Woodbury town","X15MTOTAL",4956
"Woodstock town","X15MTOTAL",4114
"","X15MTOTAL",NA
