County,Year,Town,Total races tallied:,  Not Hispanic or Latino:,    White alone or in combination with one or more other races,    Black or African American alone or in combination with one or more other races,    American Indian and Alaska Native alone or in combination with one or more other races,    Asian alone or in combination with one or more other races,    Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,    Some Other Race alone or in combination with one or more other races,  Hispanic or Latino:,    White alone or in combination with one or more other races,    Black or African American alone or in combination with one or more other races,    American Indian and Alaska Native alone or in combination with one or more other races,    Asian alone or in combination with one or more other races,    Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,    Some Other Race alone or in combination with one or more other races
Hartford,2010,Avon,18443,17766,16033,330,59,1288,8,48,677,502,21,17,21,6,110
Hartford,2010,Berlin,20073,19374,18520,168,69,579,8,30,699,524,28,9,4,3,131
Hartford,2010,Bloomfield,21183,19883,7139,11909,195,501,30,109,1300,515,344,50,6,5,380
Hartford,2010,Bristol,62132,55820,51199,2714,364,1364,42,137,6312,3214,483,78,50,32,2455
Hartford,2010,Burlington,9389,9132,8850,72,14,180,6,10,257,197,8,1,5,0,46
Hartford,2010,Canton,10422,10133,9766,121,52,178,6,10,289,200,20,11,9,1,48
Hartford,2010,East Granby,5281,5092,4705,164,46,153,6,18,189,115,7,7,4,3,53
Hartford,2010,East Hartford,53299,39073,22168,13054,338,3145,47,321,14226,5434,1345,209,110,85,7043
Hartford,2010,East Windsor,11411,10693,9202,835,63,558,6,29,718,347,59,16,2,9,285
Hartford,2010,Enfield,45580,42396,37951,2994,266,1034,45,106,3184,1301,194,43,23,8,1615
Hartford,2010,Farmington,25801,24750,21671,689,61,2238,20,71,1051,730,65,27,22,1,206
Hartford,2010,Glastonbury,35045,33473,29861,793,151,2582,14,72,1572,1055,96,39,24,2,356
Hartford,2010,Granby,11425,11216,10835,160,55,143,12,11,209,159,12,3,0,1,34
Hartford,2010,Hartford,130602,72900,20917,45704,917,3808,229,1325,57702,19566,5549,842,266,218,31261
Hartford,2010,Hartland,2141,2128,2067,15,21,21,1,3,13,11,1,0,0,0,1
Hartford,2010,Manchester,60402,52680,39551,7368,390,5028,52,291,7722,3623,875,148,94,30,2952
Hartford,2010,Marlborough,6502,6315,6030,103,26,146,4,6,187,154,18,2,0,1,12
Hartford,2010,New Britain,76572,47796,36133,8873,376,2042,69,303,28776,12831,2334,346,152,74,13039
Hartford,2010,Newington,31238,28735,25365,1193,111,1917,17,132,2503,1561,153,61,24,7,697
Hartford,2010,Plainville,18043,16858,15681,625,88,427,8,29,1185,702,45,8,9,4,417
Hartford,2010,Rocky Hill,20068,18890,15903,793,84,2051,8,51,1178,737,61,27,17,3,333
Hartford,2010,Simsbury,23943,23131,21437,456,85,1082,13,58,812,588,59,14,12,0,139
Hartford,2010,Southington,43605,42015,39978,729,157,1074,22,55,1590,1096,99,23,12,6,354
Hartford,2010,South Windsor,26266,25043,21438,1113,101,2272,27,92,1223,714,78,25,35,0,371
Hartford,2010,Suffield,15928,15015,13411,1230,75,264,11,24,913,251,56,6,7,0,593
