TOWN,YEAR,GENDER,AGE,value
Andover,15,M,4,53
Ansonia,15,M,4,574
Ashford,15,M,4,97
Avon,15,M,4,267
Barkhamsted,15,M,4,59
Beacon Falls,15,M,4,141
Berlin,15,M,4,381
Bethany,15,M,4,85
Bethel,15,M,4,426
Bethlehem,15,M,4,52
Bloomfield,15,M,4,441
Bolton,15,M,4,87
Bozrah,15,M,4,49
Branford,15,M,4,645
Bridgeport,15,M,4,5581
Bridgewater,15,M,4,13
Bristol,15,M,4,1734
Brookfield,15,M,4,303
Brooklyn,15,M,4,182
Burlington,15,M,4,145
Canaan,15,M,4,18
Canterbury,15,M,4,106
Canton,15,M,4,190
Chaplin,15,M,4,43
Cheshire,15,M,4,463
Chester,15,M,4,64
Clinton,15,M,4,264
Colchester,15,M,4,342
Colebrook,15,M,4,24
Columbia,15,M,4,104
Cornwall,15,M,4,11
Coventry,15,M,4,278
Cromwell,15,M,4,346
Danbury,15,M,4,2994
Darien,15,M,4,316
Deep River,15,M,4,92
Derby,15,M,4,386
Durham,15,M,4,122
East Granby,15,M,4,103
East Haddam,15,M,4,168
East Hampton,15,M,4,206
East Hartford,15,M,4,1578
East Haven,15,M,4,787
East Lyme,15,M,4,311
East Windsor,15,M,4,311
Eastford,15,M,4,33
Easton,15,M,4,85
Ellington,15,M,4,388
Enfield,15,M,4,1086
Essex,15,M,4,91
Fairfield,15,M,4,1234
Farmington,15,M,4,570
Franklin,15,M,4,34
Glastonbury,15,M,4,636
Goshen,15,M,4,37
Granby,15,M,4,166
Greenwich,15,M,4,1174
Griswold,15,M,4,320
Groton,15,M,4,1203
Guilford,15,M,4,322
Haddam,15,M,4,140
Hamden,15,M,4,1846
Hampton,15,M,4,31
Hartford,15,M,4,5142
Hartland,15,M,4,28
Harwinton,15,M,4,87
Hebron,15,M,4,157
Kent,15,M,4,55
Killingly,15,M,4,450
Killingworth,15,M,4,76
Lebanon,15,M,4,145
Ledyard,15,M,4,340
Lisbon,15,M,4,79
Litchfield,15,M,4,125
Lyme,15,M,4,33
Madison,15,M,4,196
Manchester,15,M,4,2099
Mansfield,15,M,4,323
Marlborough,15,M,4,109
Meriden,15,M,4,1865
Middlebury,15,M,4,124
Middlefield,15,M,4,65
Middletown,15,M,4,1540
Milford,15,M,4,1299
Monroe,15,M,4,340
Montville,15,M,4,425
Morris,15,M,4,39
Naugatuck,15,M,4,956
New Britain,15,M,4,2755
New Canaan,15,M,4,257
New Fairfield,15,M,4,208
New Hartford,15,M,4,124
New Haven,15,M,4,5250
New London,15,M,4,787
New Milford,15,M,4,615
Newington,15,M,4,793
Newtown,15,M,4,395
Norfolk,15,M,4,24
North Branford,15,M,4,271
North Canaan,15,M,4,75
North Haven,15,M,4,482
North Stonington,15,M,4,81
Norwalk,15,M,4,3087
Norwich,15,M,4,1258
Old Lyme,15,M,4,98
Old Saybrook,15,M,4,116
Orange,15,M,4,227
Oxford,15,M,4,237
Plainfield,15,M,4,420
Plainville,15,M,4,489
Plymouth,15,M,4,286
Pomfret,15,M,4,85
Portland,15,M,4,205
Preston,15,M,4,90
Prospect,15,M,4,172
Putnam,15,M,4,268
Redding,15,M,4,106
Ridgefield,15,M,4,329
Rocky Hill,15,M,4,545
Roxbury,15,M,4,27
Salem,15,M,4,75
Salisbury,15,M,4,44
Scotland,15,M,4,31
Seymour,15,M,4,416
Sharon,15,M,4,37
Shelton,15,M,4,834
Sherman,15,M,4,37
Simsbury,15,M,4,355
Somers,15,M,4,152
South Windsor,15,M,4,515
Southbury,15,M,4,262
Southington,15,M,4,921
Sprague,15,M,4,82
Stafford,15,M,4,274
Stamford,15,M,4,4941
Sterling,15,M,4,92
Stonington,15,M,4,334
Stratford,15,M,4,1309
Suffield,15,M,4,226
Thomaston,15,M,4,168
Thompson,15,M,4,202
Tolland,15,M,4,272
Torrington,15,M,4,911
Trumbull,15,M,4,623
Union,15,M,4,14
Vernon,15,M,4,959
Voluntown,15,M,4,43
Wallingford,15,M,4,1124
Warren,15,M,4,21
Washington,15,M,4,49
Waterbury,15,M,4,3965
Waterford,15,M,4,339
Watertown,15,M,4,480
West Hartford,15,M,4,1512
West Haven,15,M,4,1600
Westbrook,15,M,4,120
Weston,15,M,4,105
Westport,15,M,4,308
Wethersfield,15,M,4,590
Willington,15,M,4,160
Wilton,15,M,4,209
Winchester,15,M,4,260
Windham,15,M,4,740
Windsor Locks,15,M,4,318
Windsor,15,M,4,686
Wolcott,15,M,4,341
Woodbridge,15,M,4,115
Woodbury,15,M,4,174
Woodstock,15,M,4,146
Andover,15,M,509,86
Ansonia,15,M,509,603
Ashford,15,M,509,115
Avon,15,M,509,498
Barkhamsted,15,M,509,100
Beacon Falls,15,M,509,183
Berlin,15,M,509,479
Bethany,15,M,509,139
Bethel,15,M,509,558
Bethlehem,15,M,509,72
Bloomfield,15,M,509,404
Bolton,15,M,509,141
Bozrah,15,M,509,63
Branford,15,M,509,587
Bridgeport,15,M,509,5174
Bridgewater,15,M,509,29
Bristol,15,M,509,1711
Brookfield,15,M,509,434
Brooklyn,15,M,509,230
Burlington,15,M,509,297
Canaan,15,M,509,20
Canterbury,15,M,509,133
Canton,15,M,509,286
Chaplin,15,M,509,65
Cheshire,15,M,509,715
Chester,15,M,509,76
Clinton,15,M,509,385
Colchester,15,M,509,520
Colebrook,15,M,509,26
Columbia,15,M,509,122
Cornwall,15,M,509,24
Coventry,15,M,509,355
Cromwell,15,M,509,388
Danbury,15,M,509,2592
Darien,15,M,509,988
Deep River,15,M,509,120
Derby,15,M,509,389
Durham,15,M,509,209
East Granby,15,M,509,168
East Haddam,15,M,509,216
East Hampton,15,M,509,381
East Hartford,15,M,509,1664
East Haven,15,M,509,709
East Lyme,15,M,509,402
East Windsor,15,M,509,290
Eastford,15,M,509,53
Easton,15,M,509,222
Ellington,15,M,509,529
Enfield,15,M,509,1101
Essex,15,M,509,144
Fairfield,15,M,509,1943
Farmington,15,M,509,717
Franklin,15,M,509,50
Glastonbury,15,M,509,1006
Goshen,15,M,509,59
Granby,15,M,509,308
Greenwich,15,M,509,2170
Griswold,15,M,509,379
Groton,15,M,509,1398
Guilford,15,M,509,615
Haddam,15,M,509,275
Hamden,15,M,509,1588
Hampton,15,M,509,49
Hartford,15,M,509,4215
Hartland,15,M,509,72
Harwinton,15,M,509,163
Hebron,15,M,509,265
Kent,15,M,509,99
Killingly,15,M,509,508
Killingworth,15,M,509,160
Lebanon,15,M,509,207
Ledyard,15,M,509,479
Lisbon,15,M,509,91
Litchfield,15,M,509,233
Lyme,15,M,509,54
Madison,15,M,509,441
Manchester,15,M,509,1866
Mansfield,15,M,509,273
Marlborough,15,M,509,218
Meriden,15,M,509,2001
Middlebury,15,M,509,206
Middlefield,15,M,509,97
Middletown,15,M,509,1237
Milford,15,M,509,1245
Monroe,15,M,509,548
Montville,15,M,509,504
Morris,15,M,509,51
Naugatuck,15,M,509,985
New Britain,15,M,509,2355
New Canaan,15,M,509,697
New Fairfield,15,M,509,355
New Hartford,15,M,509,184
New Haven,15,M,509,4176
New London,15,M,509,652
New Milford,15,M,509,838
Newington,15,M,509,754
Newtown,15,M,509,782
Norfolk,15,M,509,39
North Branford,15,M,509,381
North Canaan,15,M,509,97
North Haven,15,M,509,524
North Stonington,15,M,509,131
Norwalk,15,M,509,2828
Norwich,15,M,509,1310
Old Lyme,15,M,509,172
Old Saybrook,15,M,509,207
Orange,15,M,509,344
Oxford,15,M,509,389
Plainfield,15,M,509,444
Plainville,15,M,509,414
Plymouth,15,M,509,310
Pomfret,15,M,509,121
Portland,15,M,509,245
Preston,15,M,509,104
Prospect,15,M,509,206
Putnam,15,M,509,293
Redding,15,M,509,256
Ridgefield,15,M,509,820
Rocky Hill,15,M,509,485
Roxbury,15,M,509,35
Salem,15,M,509,115
Salisbury,15,M,509,61
Scotland,15,M,509,36
Seymour,15,M,509,447
Sharon,15,M,509,57
Shelton,15,M,509,994
Sherman,15,M,509,86
Simsbury,15,M,509,669
Somers,15,M,509,242
South Windsor,15,M,509,682
Southbury,15,M,509,426
Southington,15,M,509,1214
Sprague,15,M,509,112
Stafford,15,M,509,331
Stamford,15,M,509,3839
Sterling,15,M,509,137
Stonington,15,M,509,442
Stratford,15,M,509,1402
Suffield,15,M,509,317
Thomaston,15,M,509,187
Thompson,15,M,509,263
Tolland,15,M,509,440
Torrington,15,M,509,1108
Trumbull,15,M,509,1110
Union,15,M,509,22
Vernon,15,M,509,801
Voluntown,15,M,509,79
Wallingford,15,M,509,1213
Warren,15,M,509,36
Washington,15,M,509,73
Waterbury,15,M,509,3875
Waterford,15,M,509,479
Watertown,15,M,509,615
West Hartford,15,M,509,1856
West Haven,15,M,509,1495
Westbrook,15,M,509,136
Weston,15,M,509,359
Westport,15,M,509,916
Wethersfield,15,M,509,667
Willington,15,M,509,125
Wilton,15,M,509,692
Winchester,15,M,509,286
Windham,15,M,509,743
Windsor Locks,15,M,509,320
Windsor,15,M,509,732
Wolcott,15,M,509,409
Woodbridge,15,M,509,227
Woodbury,15,M,509,218
Woodstock,15,M,509,188
Andover,15,M,1014,143
Ansonia,15,M,1014,625
Ashford,15,M,1014,136
Avon,15,M,1014,869
Barkhamsted,15,M,1014,174
Beacon Falls,15,M,1014,203
Berlin,15,M,1014,748
Bethany,15,M,1014,239
Bethel,15,M,1014,634
Bethlehem,15,M,1014,111
Bloomfield,15,M,1014,530
Bolton,15,M,1014,152
Bozrah,15,M,1014,91
Branford,15,M,1014,623
Bridgeport,15,M,1014,4367
Bridgewater,15,M,1014,57
Bristol,15,M,1014,1780
Brookfield,15,M,1014,616
Brooklyn,15,M,1014,297
Burlington,15,M,1014,423
Canaan,15,M,1014,35
Canterbury,15,M,1014,196
Canton,15,M,1014,408
Chaplin,15,M,1014,53
Cheshire,15,M,1014,1060
Chester,15,M,1014,93
Clinton,15,M,1014,425
Colchester,15,M,1014,638
Colebrook,15,M,1014,34
Columbia,15,M,1014,165
Cornwall,15,M,1014,39
Coventry,15,M,1014,409
Cromwell,15,M,1014,456
Danbury,15,M,1014,2086
Darien,15,M,1014,1341
Deep River,15,M,1014,142
Derby,15,M,1014,363
Durham,15,M,1014,336
East Granby,15,M,1014,191
East Haddam,15,M,1014,327
East Hampton,15,M,1014,462
East Hartford,15,M,1014,1635
East Haven,15,M,1014,751
East Lyme,15,M,1014,580
East Windsor,15,M,1014,287
