"District.Name","District.ID","School.Year","Languages","Number.of.Students.with.Non.English.Home.Language","Number.of.ELL.Students","districtid","group"
"Achievement First Hartford Academy Inc.",288,"2010-11","Creole-Haitian",NA,NA,288,"Public Charter"
"Achievement First Hartford Academy Inc.",288,"2010-11","Patois",NA,NA,288,"Public Charter"
"Achievement First Hartford Academy Inc.",288,"2010-11","Patwa",9,8,288,"Public Charter"
"Achievement First Hartford Academy Inc.",288,"2010-11","Spanish",18,17,288,"Public Charter"
"Achievement First Hartford Academy Inc.",288,"2010-11","Tamil",NA,NA,288,"Public Charter"
"Andover School District",1,"2010-11","Polish",6,1,1,"Not Alliance"
"Avon School District",4,"2010-11","Albanian",NA,NA,4,"Not Alliance"
"Avon School District",4,"2010-11","Arabic",NA,NA,4,"Not Alliance"
"Avon School District",4,"2010-11","Assyrian",NA,NA,4,"Not Alliance"
"Avon School District",4,"2010-11","Bengali",NA,NA,4,"Not Alliance"
"Avon School District",4,"2010-11","Cantonese",NA,NA,4,"Not Alliance"
"Avon School District",4,"2010-11","Chinese",20,3,4,"Not Alliance"
"Avon School District",4,"2010-11","Danish",NA,NA,4,"Not Alliance"
"Avon School District",4,"2010-11","German",7,2,4,"Not Alliance"
"Avon School District",4,"2010-11","Gujarati",NA,NA,4,"Not Alliance"
"Avon School District",4,"2010-11","Italian",NA,NA,4,"Not Alliance"
"Avon School District",4,"2010-11","Japanese",6,4,4,"Not Alliance"
"Avon School District",4,"2010-11","Korean",21,4,4,"Not Alliance"
"Avon School District",4,"2010-11","Malayalam",NA,NA,4,"Not Alliance"
"Avon School District",4,"2010-11","Marathi",NA,NA,4,"Not Alliance"
"Avon School District",4,"2010-11","Polish",11,3,4,"Not Alliance"
"Avon School District",4,"2010-11","Portuguese",NA,NA,4,"Not Alliance"
"Avon School District",4,"2010-11","Russian",20,7,4,"Not Alliance"
"Avon School District",4,"2010-11","Spanish",31,10,4,"Not Alliance"
"Avon School District",4,"2010-11","Tamil",7,2,4,"Not Alliance"
"Avon School District",4,"2010-11","Telugu",11,3,4,"Not Alliance"
