"School.Year","District.Name","Category","X4.Year.Graduation.Rate","Still.Enrolled","Non.Completers..Certificate.Of.Attendance.","Other","Column.8"
2010,"Avon School District","Hispanic",NA,NA,NA,NA,NA
2010,"Avon School District","Non-Hispanic",91.91,3.68,0,4.411764706,NA
2010,"Avon School District","Asian",82.35,5.88,0,11.76470588,NA
2010,"Avon School District","Black",83.33,0,0,16.66666667,NA
2010,"Avon School District","White",92.77,3.61,0,3.614457831,NA
2010,"Avon School District","Male",90.48,4.76,0,4.761904762,NA
2010,"Avon School District","Female",93.08,3.08,0,3.84,NA
2010,"Avon School District","ELL",NA,NA,NA,NA,NA
2010,"Avon School District","Non-ELL",92,4,0,4,NA
2010,"Avon School District","Eligible For Lunch",85.71,0,0,14.28571429,NA
2010,"Avon School District","Not Eligible For Lunch",91.85,4.07,0,4.074074074,NA
2010,"Avon School District","Special Education",74.19,19.3,0,6.451612903,NA
2010,"Avon School District","Non-Special Education",93.9,2.03,0,4.06504065,NA
2010,"Bloomfield School District","Hispanic",84.62,7.69,0,7.692307692,NA
2010,"Bloomfield School District","Non-Hispanic",76.05,10.1,0.6,13.17365269,NA
2010,"Bloomfield School District","Asian",NA,NA,NA,NA,NA
2010,"Bloomfield School District","Black",76.47,11.1,0.65,11.76470588,NA
2010,"Bloomfield School District","White",66.67,0,0,33.33333333,NA
2010,"Bloomfield School District","Male",71.91,14.6,1.12,12.35955056,NA
2010,"Bloomfield School District","Female",81.32,5.49,0,13.18681319,NA
2010,"Bloomfield School District","Non-ELL",76.67,10,0.56,12.77,NA
2010,"Bloomfield School District","Eligible For Lunch",73.68,11.8,0,14.47368421,NA
2010,"Bloomfield School District","Not Eligible For Lunch",78.85,8.65,0.96,11.53846154,NA
2010,"Bloomfield School District","Special Education",60,20,0,20,NA
2010,"Bloomfield School District","Non-Special Education",78.75,8.75,0.63,11.87,NA
2010,"Bolton School District","Non-Hispanic",95.52,0,0,4.47761194,NA
2010,"Bolton School District","American Indian",NA,NA,NA,NA,NA
2010,"Bolton School District","Asian",NA,NA,NA,NA,NA
2010,"Bolton School District","Black",NA,NA,NA,NA,NA
2010,"Bolton School District","White",95.24,0,0,4.761904762,NA
2010,"Bolton School District","Male",94.59,0,0,5.405405405,NA
2010,"Bolton School District","Female",96.67,0,0,3.333333333,NA
2010,"Bolton School District","Non-ELL",95.52,0,0,4.47761194,NA
2010,"Bolton School District","Eligible For Lunch",NA,NA,NA,NA,NA
2010,"Bolton School District","Not Eligible For Lunch",96.83,0,0,3.174603175,NA
2010,"Bolton School District","Special Education",NA,NA,NA,NA,NA
2010,"Bolton School District","Non-Special Education",95.45,0,0,4.545454545,NA
2010,"Canton School District","Hispanic",NA,NA,NA,NA,NA
2010,"Canton School District","Non-Hispanic",90.44,2.21,0,7.352941176,NA
2010,"Canton School District","Asian",NA,NA,NA,NA,NA
2010,"Canton School District","Black",NA,NA,NA,NA,NA
2010,"Canton School District","White",90.77,2.31,0,6.923076923,NA
2010,"Canton School District","Male",90.79,3.95,0,5.263157895,NA
2010,"Canton School District","Female",90.48,0,0,9.523809524,NA
2010,"Canton School District","ELL",NA,NA,NA,NA,NA
2010,"Canton School District","Non-ELL",91.97,2.19,0,5.839416058,NA
2010,"Canton School District","Eligible For Lunch",NA,NA,NA,NA,NA
2010,"Canton School District","Not Eligible For Lunch",93.13,1.53,0,5.34351145,NA
2010,"Canton School District","Special Education",75,12.5,0,12.5,NA
2010,"Canton School District","Non-Special Education",92.68,0.81,0,6.504065041,NA
2010,"East Granby School District","Non-Hispanic",90.2,0,0,9.803921569,NA
2010,"East Granby School District","American Indian",NA,NA,NA,NA,NA
