"Gender","Age","Employment.status","variable","value"
" Female","55 years and over","Employed","Bridgeport.Stamford.Norwalk.Metro",45361
" Female","55 years and over","Employed","Hartford.West.Hartford.East.Hartford.Metro",61712
" Female","55 years and over","Employed","New.Haven.Milford.Metro",45197
" Female","55 years and over","Unemployed","Bridgeport.Stamford.Norwalk.Metro",3492
" Female","55 years and over","Unemployed","Hartford.West.Hartford.East.Hartford.Metro",3520
" Female","55 years and over","Unemployed","New.Haven.Milford.Metro",3111
" Female","25 to 54 years","Employed","Bridgeport.Stamford.Norwalk.Metro",136842
" Female","25 to 54 years","Employed","Hartford.West.Hartford.East.Hartford.Metro",196228
" Female","25 to 54 years","Employed","New.Haven.Milford.Metro",137468
" Female","25 to 54 years","Unemployed","Bridgeport.Stamford.Norwalk.Metro",11300
" Female","25 to 54 years","Unemployed","Hartford.West.Hartford.East.Hartford.Metro",14555
" Female","25 to 54 years","Unemployed","New.Haven.Milford.Metro",10894
" Female","16 to 24 years","Employed","Bridgeport.Stamford.Norwalk.Metro",24068
" Female","16 to 24 years","Employed","Hartford.West.Hartford.East.Hartford.Metro",38255
" Female","16 to 24 years","Employed","New.Haven.Milford.Metro",28705
" Female","16 to 24 years","Unemployed","Bridgeport.Stamford.Norwalk.Metro",4320
" Female","16 to 24 years","Unemployed","Hartford.West.Hartford.East.Hartford.Metro",7527
" Female","16 to 24 years","Unemployed","New.Haven.Milford.Metro",5865
" Male","55 years and over","Employed","Bridgeport.Stamford.Norwalk.Metro",51203
" Male","55 years and over","Employed","Hartford.West.Hartford.East.Hartford.Metro",67467
" Male","55 years and over","Employed","New.Haven.Milford.Metro",45375
" Male","55 years and over","Unemployed","Bridgeport.Stamford.Norwalk.Metro",3938
" Male","55 years and over","Unemployed","Hartford.West.Hartford.East.Hartford.Metro",5001
" Male","55 years and over","Unemployed","New.Haven.Milford.Metro",3559
" Male","25 to 54 years","Employed","Bridgeport.Stamford.Norwalk.Metro",162390
" Male","25 to 54 years","Employed","Hartford.West.Hartford.East.Hartford.Metro",202305
" Male","25 to 54 years","Employed","New.Haven.Milford.Metro",142996
" Male","25 to 54 years","Unemployed","Bridgeport.Stamford.Norwalk.Metro",11765
" Male","25 to 54 years","Unemployed","Hartford.West.Hartford.East.Hartford.Metro",15521
" Male","25 to 54 years","Unemployed","New.Haven.Milford.Metro",12845
" Male","16 to 24 years","Employed","Bridgeport.Stamford.Norwalk.Metro",22563
" Male","16 to 24 years","Employed","Hartford.West.Hartford.East.Hartford.Metro",38872
" Male","16 to 24 years","Employed","New.Haven.Milford.Metro",25041
" Male","16 to 24 years","Unemployed","Bridgeport.Stamford.Norwalk.Metro",6503
" Male","16 to 24 years","Unemployed","Hartford.West.Hartford.East.Hartford.Metro",8401
" Male","16 to 24 years","Unemployed","New.Haven.Milford.Metro",7171
