"tract","rate","se","Town","Neighborhood","CT.County.Subdivisions","Towngroup","Color","County"
"4601",0.903809523809524,0.0459458962018023,"Farmington","",900327600,"Suburban","Blue","Hartford"
"4602.02",0.806474820143885,0.0518533305706503,"Farmington","",900327600,"Suburban","Blue","Hartford"
"4602.03",0.642302259887006,0.0684493434270021,"Farmington","",900327600,"Suburban","Blue","Hartford"
"4602.04",0.822588705647176,0.0527903796410228,"Farmington","",900327600,"Suburban","Blue","Hartford"
"4603.01",0.840745192307692,0.0343828203889618,"Farmington","",900327600,"Suburban","Blue","Hartford"
"4603.02",0.843611761644549,0.0549170143311969,"Farmington","",900327600,"Suburban","Blue","Hartford"
"4621.01",0.937686501667544,0.0446613987157675,"Avon","",900302060,"Suburban","Blue","Hartford"
"4621.02",0.919854721549637,0.0396741294124634,"Avon","",900302060,"Suburban","Blue","Hartford"
"4622.01",0.855447470817121,0.0448761779253738,"Avon","",900302060,"Suburban","Blue","Hartford"
"4622.02",0.687836797536567,0.0489904767212693,"Avon","",900302060,"Suburban","Blue","Hartford"
"4641.01",0.977893118031526,0.0365270273282984,"Canton","",900312270,"Suburban","Grey","Hartford"
"4641.02",0.780160857908847,0.0399206193103403,"Canton","",900312270,"Suburban","Grey","Hartford"
"4661.01",0.940447253281478,0.0388981718741805,"Simsbury","",900368940,"Suburban","Blue","Hartford"
"4661.02",0.923632610939113,0.0406109142829721,"Simsbury","",900368940,"Suburban","Blue","Hartford"
"4662.01",0.779567418315693,0.0439192648127994,"Simsbury","",900368940,"Suburban","Blue","Hartford"
"4662.02",0.954731623194654,0.0316768105463268,"Simsbury","",900368940,"Suburban","Blue","Hartford"
"4663",0.91700487012987,0.0518504722221024,"Simsbury","",900368940,"Suburban","Blue","Hartford"
"4664",0.841939298383918,0.0458432412591139,"Simsbury","",900368940,"Suburban","Blue","Hartford"
"4681.01",0.940304652120214,0.0288620084965639,"Granby","",900332640,"Suburban","Blue","Hartford"
"4681.02",0.902920284135754,0.0404857669587094,"Granby","",900332640,"Suburban","Blue","Hartford"
"4701",0.850445103857567,0.0372607182128894,"East Granby","",900322070,"Suburban","Grey","Hartford"
"4711",0.848769698645286,0.0686331595219124,"Bloomfield","",900305910,"Suburban","Grey","Hartford"
"4712",0.838720770288858,0.060910060747308,"Bloomfield","",900305910,"Suburban","Grey","Hartford"
"4713",0.710341898492249,0.0427541873514722,"Bloomfield","",900305910,"Suburban","Grey","Hartford"
"4714",0.864701436130008,0.0509800780309736,"Bloomfield","",900305910,"Suburban","Grey","Hartford"
"4715",0.788433166125701,0.0810881969345685,"Bloomfield","",900305910,"Suburban","Grey","Hartford"
"4731",0.944206008583691,0.0636503483297334,"Windsor","",900387000,"Suburban","Grey","Hartford"
"4734",0.728132387706856,0.0804871090470387,"Windsor","",900387000,"Suburban","Grey","Hartford"
"4735.01",0.902063024257538,0.0535910676128988,"Windsor","",900387000,"Suburban","Grey","Hartford"
"4735.02",0.900418660287081,0.076349405997247,"Windsor","",900387000,"Suburban","Grey","Hartford"
"4736.01",0.974076474400518,0.0496711680288848,"Windsor","",900387000,"Suburban","Grey","Hartford"
"4736.02",0.495421686746988,0.0760586113939709,"Windsor","",900387000,"Suburban","Grey","Hartford"
"4737",0.797695035460993,0.0597468338123081,"Windsor","",900387000,"Suburban","Grey","Hartford"
"4738",0.579385736595523,0.10231971963479,"Windsor","",900387000,"Suburban","Grey","Hartford"
"4761",0.816402997502082,0.0585270518908458,"Windsor Locks","",900387070,"Urban periphery","Orange","Hartford"
"4762",0.943932411674347,0.101526237241305,"Windsor Locks","",900387070,"Urban periphery","Orange","Hartford"
"4763",0.80055899381114,0.0664073159562304,"Windsor Locks","",900387070,"Urban periphery","Orange","Hartford"
"4771.01",0.847222222222222,0.0508648635400437,"Suffield","",900374540,"Suburban","Grey","Hartford"
"4771.02",0.897949297594058,0.0360319846796403,"Suffield","",900374540,"Suburban","Grey","Hartford"
"4772",0.96373779637378,0.0540159163502547,"Suffield","",900374540,"Suburban","Grey","Hartford"
"4803",0.829361296472831,0.069276327390502,"Enfield","",900325990,"Urban periphery","Orange","Hartford"
"4804",0.966106080206986,0.0582947440522753,"Enfield","",900325990,"Urban periphery","Orange","Hartford"
"4805",0.844817073170732,0.0613089137926373,"Enfield","",900325990,"Urban periphery","Orange","Hartford"
