"Town","Type","Total.housing.units...2010.census","Governmentally.Assisted.Units","Tenant.Rental.Assistance","CHFA.USDA.Mortgages","Deed.Restricted.Units","Total.Assisted.Units","Percent.Affordable","county","state","period","medianfamilyincome","poppovertyrate","population","poppoverty","type"
"Andover","Non-exempt",1317,24,1,22,0,47,0.0357,"Tolland","CT",2010,NA,4.7,3303,155,"Suburbs"
"Avon","Non-exempt",7389,240,7,23,0,270,0.0365,"Hartford","CT",2010,NA,5.1,18098,923,"Suburbs"
"Bloomfield","Exempt",9019,584,147,295,0,1026,0.1138,"Hartford","CT",2010,NA,7.4,20486,1516,"Suburbs"
"Bolton","Non-exempt",2015,0,3,16,0,19,0.0094,"Tolland","CT",2010,NA,2.2,4980,110,"Suburbs"
"Canton","Non-exempt",4339,211,19,55,32,317,0.0731,"Hartford","CT",2010,NA,4,10292,412,"Suburbs"
"East Granby","Non-exempt",2152,72,4,32,0,108,0.0502,"Hartford","CT",2010,NA,2.9,5148,149,"Suburbs"
"East Hartford","Exempt",21328,1577,1024,908,0,3509,0.1645,"Hartford","CT",2010,NA,14.8,51252,7585,"Suburbs"
"East Windsor","Exempt",5045,558,49,100,14,721,0.1429,"Hartford","CT",2010,NA,5.3,11162,592,"Suburbs"
"Ellington","Non-exempt",6665,260,8,83,0,351,0.0527,"Tolland","CT",2010,NA,2.9,15602,452,"Suburbs"
"Enfield","Exempt",17558,1340,215,546,7,2108,0.1201,"Hartford","CT",2010,NA,7.1,44654,3170,"Suburbs"
"Farmington","Non-exempt",11106,456,110,117,155,838,0.0755,"Hartford","CT",2010,NA,5.4,25340,1368,"Suburbs"
"Glastonbury","Non-exempt",13656,582,47,122,2,753,0.0551,"Hartford","CT",2010,NA,3.3,34427,1136,"Suburbs"
"Granby","Non-exempt",4360,85,2,42,5,134,0.0307,"Hartford","CT",2010,NA,1.5,11282,169,"Suburbs"
"Hartford","Exempt",51822,9415,8390,1440,0,19245,0.3714,"Hartford","CT",2010,NA,32.1,124775,40053,"Hartford"
"Hebron","Non-exempt",3567,59,3,36,0,98,0.0275,"Tolland","CT",2010,NA,1.6,9686,155,"Suburbs"
"Manchester","Exempt",25996,1813,1074,884,36,3807,0.1464,"Hartford","CT",2010,NA,8.1,58241,4718,"Suburbs"
"Marlborough","Non-exempt",2389,24,0,20,0,44,0.0184,"Hartford","CT",2010,NA,2.1,6404,134,"Suburbs"
"Newington","Non-exempt",13011,426,105,366,36,933,0.0717,"Hartford","CT",2010,NA,5.6,30562,1711,"Suburbs"
"Rocky Hill","Non-exempt",8843,236,29,173,0,438,0.0495,"Hartford","CT",2010,NA,5.7,19709,1123,"Suburbs"
"Simsbury","Non-exempt",9123,241,11,58,0,310,0.034,"Hartford","CT",2010,NA,2.1,23511,494,"Suburbs"
"Somers","Non-exempt",3479,54,7,18,0,79,0.0227,"Tolland","CT",2010,NA,4,11444,458,"Suburbs"
"South Windsor","Non-exempt",10243,427,54,235,0,716,0.0699,"Hartford","CT",2010,NA,1.6,25709,411,"Suburbs"
"Suffield","Non-exempt",5469,212,0,52,15,279,0.051,"Hartford","CT",2010,NA,2.6,15735,409,"Suburbs"
"Tolland","Non-exempt",5451,97,1,79,3,180,0.033,"Tolland","CT",2010,NA,2.4,15052,361,"Suburbs"
"Vernon","Exempt",13896,1386,533,352,12,2283,0.1643,"Tolland","CT",2010,NA,7.8,29179,2276,"Suburbs"
"West Hartford","Non-exempt",26396,541,943,304,287,2075,0.0786,"Hartford","CT",2010,NA,6.1,63268,3859,"Suburbs"
"Wethersfield","Non-exempt",11677,625,127,216,0,968,0.0829,"Hartford","CT",2010,NA,4.3,26668,1147,"Suburbs"
"Windsor","Non-exempt",11767,154,282,379,26,841,0.0715,"Hartford","CT",2010,NA,3.6,29044,1046,"Suburbs"
"Windsor Locks","Non-exempt",5429,137,178,182,0,497,0.0915,"Hartford","CT",2010,NA,6.9,12498,862,"Suburbs"
