"Town","Total.crime.Rate"
"Andover",806.25135155096
"Avon",1035.99816546518
"Bloomfield",3091.69659765587
"Bolton",693.748684284397
"Canton",1213.80480743081
"East Granby",1124.83673599874
"East Hartford",3671.10135433238
"East Windsor",3706.90023096978
"Ellington",663.746360546927
"Enfield",2357.16617974516
"Farmington",2767.1994944
"Glastonbury",1161.07119869092
"Granby",1216.74301085154
"Hartford",6728.12822988732
"Hebron",584.957029184441
"Manchester",3764.61688427382
"Marlborough",887.442705420417
"Newington",3045.77831274661
"Rocky Hill",1554.71915280676
"Simsbury",928.56126008288
"Somers",622.852290498817
"South Windsor",1809.85033831573
"Stafford",719.134741262258
"Suffield",1062.85554162527
"Tolland",564.386187119993
"Vernon",1282.6445527321
"West Hartford",2656.7926559717
"Wethersfield",2109.17310629367
"Windsor",2037.90487601532
"Windsor Locks",2192.2756646141
