"period","Towngroup","sumpop","sumpoor"
1900,"Hartford",79850,NA
1900,"Suburban / rural",30979,NA
1900,"Urban periphery",48268,NA
1910,"Hartford",98915,NA
1910,"Suburban / rural",33292,NA
1910,"Urban periphery",61131,NA
1920,"Hartford",138036,NA
1920,"Suburban / rural",36083,NA
1920,"Urban periphery",79413,NA
1930,"Hartford",164072,NA
1930,"Suburban / rural",38544,NA
1930,"Urban periphery",115861,NA
1940,"Hartford",166267,NA
1940,"Suburban / rural",43535,NA
1940,"Urban periphery",135225,NA
1950,"Hartford",177397,NA
1950,"Suburban / rural",57213,NA
1950,"Urban periphery",183581,NA
1960,"Hartford",162178,NA
1960,"Suburban / rural",97361,NA
1960,"Urban periphery",287006,NA
1970,"Hartford",158017,26863
1970,"Suburban / rural",145171,NA
1970,"Urban periphery",366719,NA
1980,"Hartford",136392,34371
1980,"Suburban / rural",172378,5341
1980,"Urban periphery",359709,15911
1990,"Hartford",139739,38428
1990,"Suburban / rural",201041,4579
1990,"Urban periphery",368624,13340
2000,"Hartford",121578,37203
2000,"Suburban / rural",225153,6160
2000,"Urban periphery",374589,21578
2010,"Hartford",124775,40053
2010,"Suburban / rural",247175,7888
2010,"Urban periphery",385561,29013
2015,"Hartford",125999,NA
2015,"Suburban / rural",265584,NA
2015,"Urban periphery",392043,NA
2020,"Hartford",126656,NA
2020,"Suburban / rural",270603,NA
2020,"Urban periphery",397572,NA
2025,"Hartford",126185,NA
2025,"Suburban / rural",274846,NA
2025,"Urban periphery",401396,NA
