"Towngroup","period","population","population.under.poverty","median","min","max"
"Hartford",1970,158017,26863,9108,9108,9108
"Hartford",1980,136392,34371,14032,14032,14032
"Hartford",1990,139739,38428,24774,24774,24774
"Hartford",2000,121578,37203,27051,27051,27051
"Hartford",2010,124775,40053,28970,28970,28970
"Hartford",2015,125999,NA,NA,Inf,-Inf
"Hartford",2020,126656,NA,NA,Inf,-Inf
"Hartford",2025,126185,NA,NA,Inf,-Inf
"Suburban / rural",1970,145171,NA,14331,13476,17186
"Suburban / rural",1980,172378,5341,26679,22935,34470
"Suburban / rural",1990,201041,4579,59068,47255,79278
"Suburban / rural",2000,225153,6160,80623,60694,109161
"Suburban / rural",2010,247175,7888,90023,64301,113224
"Suburban / rural",2015,265584,NA,NA,Inf,-Inf
"Suburban / rural",2020,270603,NA,NA,Inf,-Inf
"Suburban / rural",2025,274846,NA,NA,Inf,-Inf
"Urban periphery",1970,366719,NA,13332,11752,15451
"Urban periphery",1980,359709,15911,24735,21939,29937
"Urban periphery",1990,368624,13340,50916,42853,60518
"Urban periphery",2000,374589,21578,64892,50540,77865
"Urban periphery",2010,385561,29013,68372,48613,78695
"Urban periphery",2015,392043,NA,NA,Inf,-Inf
"Urban periphery",2020,397572,NA,NA,Inf,-Inf
"Urban periphery",2025,401396,NA,NA,Inf,-Inf
