"Towngroup","School.Type","School.Year","x"
"Hartford","Public","2006-07",19018
"Hartford","Public","2007-08",18459
"Hartford","Public","2008-09",17922
"Hartford","Public","2009-10",17264
"Hartford","Public","2010-11",16224
"Hartford","Private","2006-07",1092
"Hartford","Private","2007-08",1048
"Hartford","Private","2008-09",865
"Hartford","Private","2009-10",964
"Hartford","Private","2010-11",960
"Hartford","Public charter","2006-07",275
"Hartford","Public charter","2007-08",272
"Hartford","Public charter","2008-09",623
"Hartford","Public charter","2009-10",826
"Hartford","Public charter","2010-11",986
"Hartford","Magnet School","2006-07",3188
"Hartford","Magnet School","2007-08",3533
"Hartford","Magnet School","2008-09",3542
"Hartford","Magnet School","2009-10",3780
"Hartford","Magnet School","2010-11",4410
"Hartford","Open Choice","2006-07",1065
"Hartford","Open Choice","2007-08",1085
"Hartford","Open Choice","2008-09",1112
"Hartford","Open Choice","2009-10",1221
"Hartford","Open Choice","2010-11",1255
"Hartford","Other","2006-07",31
"Hartford","Other","2007-08",83
"Hartford","Other","2008-09",46
"Hartford","Other","2009-10",57
"Hartford","Other","2010-11",70
"Suburban / rural","Public","2006-07",47164
"Suburban / rural","Public","2007-08",47068
"Suburban / rural","Public","2008-09",46806
"Suburban / rural","Public","2009-10",46326
"Suburban / rural","Public","2010-11",45859
"Suburban / rural","Private","2006-07",3481
"Suburban / rural","Private","2007-08",3520
"Suburban / rural","Private","2008-09",3306
"Suburban / rural","Private","2009-10",3252
"Suburban / rural","Private","2010-11",3146
"Suburban / rural","Public charter","2006-07",10
"Suburban / rural","Public charter","2007-08",13
"Suburban / rural","Public charter","2008-09",22
"Suburban / rural","Public charter","2009-10",31
"Suburban / rural","Public charter","2010-11",34
"Suburban / rural","Magnet School","2006-07",566
"Suburban / rural","Magnet School","2007-08",565
"Suburban / rural","Magnet School","2008-09",691
"Suburban / rural","Magnet School","2009-10",881
"Suburban / rural","Magnet School","2010-11",980
"Suburban / rural","Other","2006-07",187
"Suburban / rural","Other","2007-08",153
"Suburban / rural","Other","2008-09",157
"Suburban / rural","Other","2009-10",157
"Suburban / rural","Other","2010-11",163
"Urban periphery","Public","2006-07",54198
"Urban periphery","Public","2007-08",53185
"Urban periphery","Public","2008-09",52769
"Urban periphery","Public","2009-10",52389
"Urban periphery","Public","2010-11",51555
"Urban periphery","Private","2006-07",5935
"Urban periphery","Private","2007-08",5981
"Urban periphery","Private","2008-09",5932
"Urban periphery","Private","2009-10",5486
"Urban periphery","Private","2010-11",5146
"Urban periphery","Public charter","2006-07",215
"Urban periphery","Public charter","2007-08",262
"Urban periphery","Public charter","2008-09",336
"Urban periphery","Public charter","2009-10",366
"Urban periphery","Public charter","2010-11",406
"Urban periphery","Magnet School","2006-07",2352
"Urban periphery","Magnet School","2007-08",2479
"Urban periphery","Magnet School","2008-09",2696
"Urban periphery","Magnet School","2009-10",3091
"Urban periphery","Magnet School","2010-11",3691
"Urban periphery","Open Choice","2006-07",1
"Urban periphery","Open Choice","2007-08",1
"Urban periphery","Open Choice","2008-09",1
"Urban periphery","Open Choice","2009-10",27
"Urban periphery","Open Choice","2010-11",31
"Urban periphery","Other","2006-07",212
"Urban periphery","Other","2007-08",224
"Urban periphery","Other","2008-09",240
"Urban periphery","Other","2009-10",236
"Urban periphery","Other","2010-11",234
