Type,Year,Date,Town,Names on Official Check List (Active),Number Checked as Having Voted,Percentage Checked as Having Voted
General,2012,11/6/2012,Union,622,518,0.833
General,2012,11/6/2012,Canaan,786,625,0.795
General,2012,11/6/2012,Warren,994,834,0.839
General,2012,11/6/2012,Cornwall,1050,877,0.835
General,2012,11/6/2012,Colebrook,1097,862,0.786
General,2012,11/6/2012,Scotland,1118,844,0.755
General,2012,11/6/2012,Norfolk,1164,920,0.79
General,2012,11/6/2012,Eastford,1201,949,0.79
General,2012,11/6/2012,Bridgewater,1256,1190,0.947
General,2012,11/6/2012,Hampton,1257,1036,0.824
General,2012,11/6/2012,Franklin,1316,1038,0.789
General,2012,11/6/2012,Chaplin,1356,1060,0.782
General,2012,11/6/2012,Hartland,1555,1215,0.781
General,2012,11/6/2012,Voluntown,1672,1224,0.732
General,2012,11/6/2012,Morris,1678,1302,0.776
General,2012,11/6/2012,Bozrah,1714,1294,0.755
General,2012,11/6/2012,Roxbury,1719,1477,0.859
General,2012,11/6/2012,Sharon,1778,1460,0.821
General,2012,11/6/2012,Sprague,1787,1420,0.795
General,2012,11/6/2012,Lyme,1825,1478,0.81
General,2012,11/6/2012,North Canaan,1998,1300,0.651
General,2012,11/6/2012,Kent,2011,1712,0.851
General,2012,11/6/2012,Sterling,2118,1411,0.666
General,2012,11/6/2012,Goshen,2190,1798,0.821
General,2012,11/6/2012,Andover,2210,1784,0.807
General,2012,11/6/2012,Washington,2447,2162,0.884
General,2012,11/6/2012,Chester,2542,2074,0.816
General,2012,11/6/2012,Lisbon,2638,2053,0.778
General,2012,11/6/2012,Barkhamsted,2700,2113,0.783
General,2012,11/6/2012,Sherman,2714,1825,0.672
General,2012,11/6/2012,Pomfret,2763,2161,0.782
General,2012,11/6/2012,Salem,2801,2134,0.762
General,2012,11/6/2012,Bethlehem,2837,2335,0.823
General,2012,11/6/2012,Ashford,2878,2143,0.745
General,2012,11/6/2012,Salisbury,2973,2220,0.747
General,2012,11/6/2012,Deep River,3220,2448,0.76
General,2012,11/6/2012,Middlefield,3274,2527,0.772
General,2012,11/6/2012,Canterbury,3371,2553,0.757
General,2012,11/6/2012,Preston,3382,2347,0.694
General,2012,11/6/2012,Bolton,3412,2941,0.862
General,2012,11/6/2012,East Granby,3546,2890,0.815
General,2012,11/6/2012,Columbia,3644,3079,0.845
General,2012,11/6/2012,Willington,3645,2796,0.767
General,2012,11/6/2012,North Stonington,3766,2719,0.722
General,2012,11/6/2012,Beacon Falls,3914,2930,0.749
General,2012,11/6/2012,Bethany,3984,3241,0.814
General,2012,11/6/2012,Harwinton,4067,3262,0.802
General,2012,11/6/2012,Marlborough,4320,3473,0.804
General,2012,11/6/2012,Westbrook,4396,3574,0.813
General,2012,11/6/2012,Killingworth,4452,3800,0.854
General,2012,11/6/2012,New Hartford,4580,3895,0.85
General,2012,11/6/2012,Essex,4773,3991,0.836
General,2012,11/6/2012,Lebanon,4777,3652,0.764
General,2012,11/6/2012,Brooklyn,4924,3347,0.68
General,2012,11/6/2012,Thomaston,4989,3792,0.76
General,2012,11/6/2012,Durham,5195,4135,0.796
General,2012,11/6/2012,Putnam,5244,3181,0.607
General,2012,11/6/2012,Thompson,5330,4061,0.762
General,2012,11/6/2012,Woodstock,5359,4254,0.794
General,2012,11/6/2012,Middlebury,5368,4304,0.802
General,2012,11/6/2012,Easton,5423,4315,0.796
General,2012,11/6/2012,East Haddam,5871,4634,0.789
General,2012,11/6/2012,Haddam,6027,4685,0.777
General,2012,11/6/2012,Portland,6096,4869,0.799
General,2012,11/6/2012,Litchfield,6163,4623,0.75
General,2012,11/6/2012,Norwalk,6163,4623,0.75
General,2012,11/6/2012,Old Lyme,6274,4556,0.726
General,2012,11/6/2012,Burlington,6312,5128,0.812
General,2012,11/6/2012,Prospect,6373,5187,0.814
General,2012,11/6/2012,Somers,6426,4967,0.773
General,2012,11/6/2012,Hebron,6582,5172,0.786
General,2012,11/6/2012,Woodbridge,6583,5723,0.869
General,2012,11/6/2012,Derby,6610,4721,0.714
General,2012,11/6/2012,Griswold,6757,4872,0.721
General,2012,11/6/2012,Weston,6811,5536,0.813
General,2012,11/6/2012,Winchester,7046,4740,0.673
General,2012,11/6/2012,Redding,7057,5388,0.763
General,2012,11/6/2012,Canton,7079,5768,0.815
General,2012,11/6/2012,Granby,7440,6415,0.862
General,2012,11/6/2012,Windsor Locks,7467,5770,0.773
General,2012,11/6/2012,Woodbury,7511,5621,0.748
General,2012,11/6/2012,East Windsor,7524,5070,0.674
General,2012,11/6/2012,Stafford,7574,5785,0.764
General,2012,11/6/2012,Old Saybrook,7735,5918,0.765
